,e1,relation,e2,date,predictions
87,Japan,Engage in negotiation,North Korea,2014-03-29,"['North Korea', 'Terrorist (Syria)', 'Philip Hammond', 'Agence France-Presse', 'Treasury/Finance Ministry (Bangladesh)', 'South Africa', 'Lawmaker (Indonesia)', 'Sudan', 'Japan', 'New Zealand']"
88,Nabih Berri,Consult,David Hale,2014-12-23,"['Konstantin Dolgov', 'Organisation of Islamic Cooperation', 'Congress (Argentina)', 'Jose Mario Vaz', 'Dino Melaye', 'Member of the Judiciary (Bangladesh)', 'Nabih Berri', 'Armed Gang (Afghanistan)', 'Indigenous People (Greece)', 'Government (France)']"
89,Iran,Consult,Iraq,2014-12-09,"['Iraq', 'Armenia', 'Sudan', 'Intelligence Chief (Sudan)', 'Foreign Affairs (Macedonia)', 'Foreign Affairs (Ukraine)', 'Protester (Thailand)', 'Head of Government (Afghanistan)', 'Iran', 'Ibrahim Hassan Saif']"
90,Iran,Host a visit,Haider Al-Abadi,2014-10-25,"['Defense / Security Ministry (United States)', '""Taufa\\\'ahau Tupou IV""', 'High Commission for Refugees', 'Other Authorities / Officials (Russia)', 'Nationalist Movement Party', 'Business (Iran)', 'Opposition Supporter (Pakistan)', 'Iran', 'Ministry (South Africa)', 'Member of the Judiciary (Iran)']"
91,Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-01-21,"['Police (Burundi)', 'Abdel Fattah Al-Sisi', 'Sudan', 'Greenpeace', 'Protester (Egypt)', 'Nicos Anastasiades', 'Ministry (Egypt)', 'Cabinet / Council of Ministers / Advisors (Somalia)', 'Lawmaker (Indonesia)', 'Independent Corrupt Practices Commission']"
92,Criminal (Brazil),Use unconventional violence,Citizen (Brazil),2014-12-09,"['Citizen (Brazil)', 'Party Member (Taiwan)', 'China', 'Fula people', 'Gurbanguly Berdymukhammedov', 'African Union', 'Member of Parliament (Iran)', 'Head of Government (Ukraine)', 'Criminal (Brazil)', 'Japan Self-Defense Forces']"
93,Fumio Kishida,Demand,North Korea,2014-09-24,"['North Korea', 'Main Opposition (Turkey)', 'Government Official (Japan)', 'Citizen (Thailand)', 'Fumio Kishida', 'Nuri al-Maliki', 'Serbia', 'Medical Personnel (Jordan)', 'Other Authorities / Officials (Russia)', 'Foreign Affairs (Liberia)']"
94,Police (Kenya),Confiscate property,Citizen (Kenya),2014-11-18,"['Business (Russia)', 'Citizen (Kenya)', 'Government (Sweden)', 'Djibouti', 'Finance / Economy / Commerce / Trade Ministry (Zambia)', 'Agence France-Presse', 'Massoud Barzani', 'Lawyer/Attorney (Australia)', 'Police (Kenya)', 'Media (Qatar)']"
95,Fumio Kishida,Consult,Hu Deping,2014-04-10,"['Government (Ecuador)', 'Foreign Affairs (Russia)', 'Mohamed Ould Abdel Aziz', 'China', 'Luiz Inacio Lula Da Silva', 'Fumio Kishida', 'Hu Deping', 'Protester (Kyrgyzstan)', 'Citizen (Tanzania)', 'Student (Bangladesh)']"
96,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-09-13,"['Member of Parliament (South Africa)', 'Religion (India)', 'Philip Boedoro', 'Police (Sudan)', 'South Africa', 'Activist (Syria)', 'Catherine Ashton', 'National Iranian Tanker Company', 'Hemant Soren', 'Men (New Zealand)']"
97,Thief (India),Use unconventional violence,Citizen (India),2014-11-09,"['Citizen (India)', 'United Russia', 'Religion (India)', 'Criminal (Italy)', 'Thief (India)', 'Combatant (Islamic State of Iraq and the Levant)', 'Military Personnel (Canada)', 'Xi Jinping', 'Prem Tinsulanonda', 'Dmitry Anatolyevich Medvedev']"
98,Citizen (Australia),Use unconventional violence,Police (Australia),2014-01-31,"['Election Commission (India)', 'Police (Australia)', 'Men (United Kingdom)', 'Food and Agriculture Organization', 'Citizen (Australia)', 'Student (Venezuela)', 'Party Member (Jordan)', 'Defense / Security Ministry (Nigeria)', 'Toomas Hendrik Ilves', 'Sadayuki Sakakibara']"
99,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-03-05,"['Member of Parliament (South Africa)', 'Religion (India)', 'Philip Boedoro', 'Police (Sudan)', 'South Africa', 'Activist (Syria)', 'Catherine Ashton', 'National Iranian Tanker Company', 'Hemant Soren', 'Men (New Zealand)']"
100,Thailand,Express intent to cooperate,Vietnam,2014-12-22,"['Vietnam', 'Colombia', 'Government (Pakistan)', 'Military (El Salvador)', 'Thailand', 'Foreign Affairs (Italy)', 'Media (Zimbabwe)', 'Lawmaker (Russia)', 'High Commission for Refugees', 'Ministry (Russia)']"
101,Cabinet / Council of Ministers / Advisors (United States),Consult,Catherine Ashton,2014-11-12,"['Catherine Ashton', 'Court Judge (Nigeria)', 'Abdul Aziz', 'Head of Government (Qatar)', 'Criminal (Tanzania)', 'Information Ministry (India)', 'Israeli Defense Forces', 'Cabinet / Council of Ministers / Advisors (United States)', 'Toomas Hendrik Ilves', 'Romania']"
102,Iran,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-17,"['China', 'Joseph Robinette Biden', 'Legislature (Italy)', 'Head of Government (Ukraine)', 'Election Commission (India)', 'Head of Government (China)', 'Treasury/Finance Ministry (Saudi Arabia)', 'Military Personnel (Afghanistan)', 'Iran', 'Ministry (Liberia)']"
103,Lawyer/Attorney (Australia),Consult,Domestic Affairs (Australia),2014-03-02,"['Philip Hammond', 'Media Personnel (Iran)', 'Nuri al-Maliki', 'Domestic Affairs (Australia)', 'Chuck Hagel', 'Foreign Affairs (Ukraine)', 'Lawyer/Attorney (Australia)', 'Women (Mexico)', 'Ministry (Kuwait)', 'Ivan Gasparovic']"
104,Daniel Mitov,Consult,Center for Strategic and International Studies,2014-09-29,"['Constitutional Court (Albania)', 'Philippines', 'Congress of South African Trade Unions', 'Zhang Dejiang', 'Court Judge (Bahrain)', 'Daniel Mitov', 'Professor (France)', 'Gjorge Ivanov', 'Leymah Roberta Gbowee', 'Women (Egypt)']"
105,France,Praise or endorse,Iran,2014-01-08,"['Iran', 'Ministry (Liberia)', 'Congress of South African Trade Unions', 'Ibrahim Hassan Saif', 'European Central Bank', 'People Associated with the Opposition (Bahrain)', 'France', 'Abdul Aziz', 'Takeshi Onaga', 'Citizen (Venezuela)']"
106,France,Consult,China,2014-03-24,"['China', 'Iraq', 'Mikhail Margelov', 'Military (Lebanon)', 'Armed Rebel (Ukraine)', 'Philippines', 'France', 'Laos', 'Government (Syria)', 'Murtala Nyako']"
107,European Parliament,Criticize or denounce,Government (Venezuela),2014-12-20,"['Nuri al-Maliki', 'Arseniy Yatsenyuk', 'Cleric (Iraq)', 'Ireland', 'Cameroon', 'Tajikistan', 'Insurgent (Afghanistan)', 'European Parliament', 'Ministry (Afghanistan)', 'Ministry (Venezuela)']"
108,China,Accuse,Vietnam,2014-05-30,"['Special Rapporteurs of the United Nations', 'Vietnam', 'National Anti-Corruption Commission (Thailand)', 'China', 'Mohamed Ould Abdel Aziz', 'Head of Government (Ukraine)', 'Party Member (Taiwan)', 'Representatives (Slovakia)', 'Defense / Security Ministry (Egypt)', 'Azubuike Ihejirika']"
109,Police (Kenya),Provide humanitarian aid,Citizen (Kenya),2014-08-29,"['Ma Ying Jeou', 'Dmitry Anatolyevich Medvedev', 'Morgan Tsvangirai', 'Police (Burundi)', 'Tarun Gogoi', 'Police (Kenya)', 'Massoud Barzani', 'Armed Rebel (Syria)', 'People Associated with the Opposition (Argentina)', 'Mohamed Ould Boilil']"
110,Barack Obama,Make an appeal or request,China,2014-06-05,"['China', 'Canadian Armed Forces', 'Kevin Rudd', 'Gjorge Ivanov', 'Head of Government (Ukraine)', 'Ireland', 'National Council for Peace and Order of Thailand', 'Ram Gopal Yadav', 'Barack Obama', 'Abhisit Vejjajiva']"
111,South Korea,Make an appeal or request,North Korea,2014-09-15,"['North Korea', 'European Central Bank', 'Newspaper (Japan)', 'Julie Bishop', 'South Korea', 'Government (France)', 'National Council for Peace and Order of Thailand', 'Uhuru Muigai Kenyatta', 'Web Site (Lithuania)', 'Royal Thai Police']"
112,Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia),2014-12-04,"['Foreign Affairs (United States)', 'Sergey Viktorovich Lavrov', 'Army Personnel (Egypt)', 'Citizen (Germany)', 'Women (Australia)', 'Representatives (Slovakia)', 'Police (Australia)', 'Independent High Electoral Commission', 'Government (United States)', 'Business (Bulgaria)']"
113,China,Consult,Japan,2014-04-29,"['Japan', 'Mbhazima Samuel Shilowa', 'National Council for Peace and Order of Thailand', 'Election Commission (India)', 'Head of Government (Poland)', 'Member of the Judiciary (Turkey)', 'Slovenia', 'China', 'Niger', 'Military (Middle East)']"
114,Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Sergey Viktorovich Lavrov,2014-11-23,"['Sergey Viktorovich Lavrov', 'Congo', 'Iraq', 'Media (India)', 'Military Personnel (Paraguay)', 'Citizen (Brazil)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Government (Sweden)', 'Kisii', 'Gurbanguly Berdymukhammedov']"
115,Mexico,Consult,Foreign Affairs (Uruguay),2014-11-23,"['Media (India)', 'Abdul Aziz', 'Sindh High Court', 'Justice and Development Party', 'Mexico', 'Citizen (Venezuela)', 'Foreign Affairs (Uruguay)', 'Emmanuel Eweta Uduaghan', 'Party President (Turkey)', 'Arseniy Yatsenyuk']"
116,Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-04-11,"['Cabinet / Council of Ministers / Advisors (United States)', 'People Associated with the Opposition (Bahrain)', 'Military (Lebanon)', 'Togo', 'Citizen (Venezuela)', 'Agence France-Presse', 'Sergey Viktorovich Lavrov', 'Farm Worker (Nigeria)', 'Armed Rebel (Ukraine)', 'Inter-Services Intelligence']"
117,François Hollande,Consult,Angela Merkel,2014-02-20,"['Angela Merkel', 'Kim Jong-Un', 'Web Site (Lithuania)', 'Human Rights Watch', 'Bhupinder Singh Hooda', 'Business (Uruguay)', 'François Hollande', 'Other Authorities / Officials (Romania)', 'Military Personnel (Canada)', '""Citizen (Cote d\\\'Ivoire)""']"
118,Police (Australia),Engage in material cooperation,Citizen (Australia),2014-01-21,"['Citizen (Australia)', 'Police (Belgium)', 'Rights Activist (China)', 'Foreign Affairs (Hungary)', 'Haider Al-Abadi', 'Algirdas Butkevičius', 'Justice Department/Ministery (Libya)', 'Colombia', 'Police (Australia)', 'Legislature (South Africa)']"
119,Citizen (India),Make an appeal or request,Election Commission (India),2014-05-09,"['Election Commission (India)', 'Sergey Viktorovich Lavrov', 'Business (Bulgaria)', 'Secret Agent (Philippines)', 'Lawmaker (Indonesia)', 'Citizen (India)', 'Intelligence (United States)', 'Michael Sata', 'Head of Government (Poland)', 'Government (Sudan)']"
120,Israeli Defense Forces,fight with small arms and light weapons,"Children (Palestinian Territory, Occupied)",2014-03-24,"['Government (Sweden)', 'Police (Benin)', 'Inter-Services Intelligence', 'Israeli Defense Forces', 'Laos', 'Human Rights Group (Malaysia)', 'Ministry (Czech Republic)', 'Chief Court Judge (Malaysia)', 'Congress (Nigeria)', 'Royal Administration (Jordan)']"
121,Other Authorities / Officials (Mexico),Make statement,Criminal (Mexico),2014-03-28,"['Foreign Affairs (Czech Republic)', 'Citizen (United Arab Emirates)', 'Foreign Affairs (Namibia)', 'Head of Government (Palestinian Territory', 'Occupied)', 'Frank Bainimarama', 'Other Authorities / Officials (Mexico)', 'Aam Aadmi Party', 'National Bank of Rwanda', 'China', 'Treasury/Finance Ministry (Czech Republic)']"
122,Military Personnel (Kenya),Make statement,Police (Kenya),2014-12-05,"['Military Personnel (Paraguay)', 'Gurbanguly Berdymukhammedov', 'Citizen (India)', 'Shahin Mustafayev', 'Police (Kenya)', 'Military Personnel (Kenya)', 'Djibouti', 'Citizen (Turkey)', 'Men (Kenya)', 'Political Parties (Haiti)']"
123,Laos,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-09-01,"['China', 'Joseph Robinette Biden', 'Legislature (Italy)', 'Head of Government (Ukraine)', 'Election Commission (India)', 'Head of Government (China)', 'Treasury/Finance Ministry (Saudi Arabia)', 'Military Personnel (Afghanistan)', 'Laos', 'Ministry (Liberia)']"
124,South Korea,Consult,Japan,2014-12-29,"['Japan', 'Mbhazima Samuel Shilowa', 'National Council for Peace and Order of Thailand', 'Election Commission (India)', 'South Korea', 'Head of Government (Poland)', 'Member of the Judiciary (Turkey)', 'Slovenia', 'Niger', 'Military (Middle East)']"
125,North Korea,Criticize or denounce,Japan,2014-05-23,"['Japan', 'Abdul Aziz', 'Prem Tinsulanonda', 'Royal Thai Police', 'Serbia', 'North Korea', 'Military Academy (North Korea)', 'Government Official (Japan)', 'Vietnam', 'Arseniy Yatsenyuk']"
126,Cabinet / Council of Ministers / Advisors (United States),Consult,Catherine Ashton,2014-10-18,"['Catherine Ashton', 'Court Judge (Nigeria)', 'Abdul Aziz', 'Head of Government (Qatar)', 'Criminal (Tanzania)', 'Information Ministry (India)', 'Israeli Defense Forces', 'Cabinet / Council of Ministers / Advisors (United States)', 'Toomas Hendrik Ilves', 'Romania']"
127,Citizen (Nigeria),Criticize or denounce,Member of the Judiciary (Nigeria),2014-10-27,"['Macky Sall', 'Shiv Sena', 'Party Member (Zambia)', 'Military (Mozambique)', 'City Mayor (Croatia)', 'Citizen (Nigeria)', 'Alexander Stubb', 'Citizen (Bulgaria)', 'Angela Merkel', 'Other Authorities / Officials (Lebanon)']"
128,Citizen (Nigeria),Accede to demands for change in leadership,Ministry (Nigeria),2014-10-23,"['Ministry (Nigeria)', 'Special Rapporteurs of the United Nations', 'Other Authorities / Officials (Philippines)', 'Head of Government (Ukraine)', 'Men (Argentina)', 'Foreign Affairs (Italy)', 'Government (Sudan)', 'Military Academy (North Korea)', 'Foreign Affairs (Czech Republic)', 'Citizen (Nigeria)']"
129,Police (Philippines),Make statement,Criminal (Philippines),2014-12-27,"['Communist Party of India', 'Abdirahman Ducaale Bayle', 'Criminal (Philippines)', 'Other Authorities / Officials (Libya)', 'Police (Philippines)', 'Foreign Affairs (Liberia)', 'Ukrinform', 'Legislature (Argentina)', 'Muhammadu Buhari', 'Toomas Hendrik Ilves']"
130,China,Make a visit,North Korea,2014-07-21,"['North Korea', 'Criminal (Guatemala)', 'Milos Zeman', 'Interfax', 'Citizen (Kenya)', 'Viktor Orban', 'Ryoo Kihl-jae', 'Arab Israelis', 'Democratic Party (Nigeria)', 'China']"
131,North Korea,Engage in negotiation,Japan,2014-04-04,"['Japan', 'Josh Earnest', 'Barack Obama', 'Kuwait', 'Ministry (France)', 'North Korea', 'Christian Democratic Union', 'Cleric (Iraq)', 'Vietnam', 'Party Member (Taiwan)']"
132,Other Authorities / Officials (Nigeria),Demand,Education (Nigeria),2014-08-28,"['Education (Nigeria)', 'Combatant (Iraqi Kurds)', 'Refugee (Chad)', 'Radimir Čačić', 'Government Official (Egypt)', 'Miguel Ángel Osorio Chong', 'Lawyer/Attorney (Senegal)', 'Other Authorities / Officials (Nigeria)', 'National Unity Party (Somalia)', 'European Central Bank']"
133,Agence France-Presse,Discuss by telephone,Riek Machar,2014-01-10,"['Riek Machar', 'Secret Agent (Philippines)', 'Israeli Defense Forces', 'Congress of South African Trade Unions', 'Agence France-Presse', 'Serbia', 'Police (Hong Kong)', 'Maldives', 'Mary Robinson', 'China']"
134,Joseph Robinette Biden,Consult,Head of Government (Latvia),2014-04-30,"['Police (Ethiopia)', 'Michael Sata', 'Arseniy Yatsenyuk', 'Citizen (India)', 'Mexico', 'Joseph Robinette Biden', 'Christian Democratic Union', 'Foreign Affairs (Venezuela)', 'Member of Legislative (Govt) (Iran)', 'Vietnam']"
135,Company - Owner or Operator (India),Make an appeal or request,Citizen (India),2014-08-29,"['Citizen (India)', 'Religion (India)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Tajikistan', 'Police (Burundi)', 'Pavlo Klimkin', 'Associated Press', 'Company - Owner or Operator (India)', 'Hamas', 'Head of Government (Egypt)']"
136,Rights Activist (Belarus),Provide aid,Citizen (Belarus),2014-06-23,"['Party Member (Taiwan)', 'Inter-Services Intelligence', 'Municipal Court (Czech Republic)', 'Congress (United States)', 'Citizen (Indonesia)', 'Rights Activist (Belarus)', 'Military (Argentina)', 'Organized Crime (Holy See (Vatican City State))', 'Bolivia', 'Government (Africa)']"
137,Other Authorities / Officials (Libya),Make statement,Ansar al-Sharia in Libya,2014-05-14,"['Sheikh Hamad bin Isa al Khalifah', 'North Atlantic Treaty Organization', 'Al Jazeera', 'Energy Department/Ministry (Iran)', 'Svoboda', 'Other Authorities / Officials (Libya)', 'Police (Canada)', 'Ng Eng Hen', 'Ishaq Dar', 'Citizen (South Korea)']"
138,France,Express intent to meet or negotiate,China,2014-11-24,"['China', 'Colombia', 'Togo', 'Kuwait', 'France', 'Bank (Albania)', 'Dinka', 'Head of Government (Poland)', 'The Standard', 'Thailand']"
139,Citizen (Nigeria),Accuse,Government (Nigeria),2014-01-07,"['Congress of South African Trade Unions', 'Anabela Rodrigues', 'Carrie Lam', 'Government (Nigeria)', 'Citizen (Nigeria)', 'Daniel Scioli', 'Oman', 'Foreign Affairs (Hungary)', 'Ethiopia', 'Head of Government (India)']"
140,Police (Australia),Appeal for intelligence,Citizen (Australia),2014-09-19,"['Security Service of Ukraine', 'Appeals Court (Sweden)', 'Citizen (Australia)', 'Criminal (Somalia)', 'New Zealand', 'Military (Niger)', 'Police (Australia)', 'Undersecretary (United States)', 'Pope Francis', 'Augusto Barrera']"
141,Government (Nigeria),Accuse,Citizen (Nigeria),2014-10-13,"['Citizen (Nigeria)', 'Morgan Tsvangirai', 'Education (United States)', 'Criminal (Pokot)', 'Ministry (Madagascar)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Government (Nigeria)', 'Ryoo Kihl-jae', 'Special Rapporteurs of the United Nations', 'Foreign Affairs (Namibia)']"
142,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-05-07,"['Member of Parliament (South Africa)', 'Religion (India)', 'Philip Boedoro', 'Police (Sudan)', 'South Africa', 'Activist (Syria)', 'Catherine Ashton', 'National Iranian Tanker Company', 'Hemant Soren', 'Men (New Zealand)']"
143,Civil Guard,"Arrest, detain, or charge with legal action",Women (Spain),2014-11-13,"['Presidential Press Service (Nigeria)', 'National Anti-Corruption Commission (Thailand)', 'Business (Russia)', 'Chaudhry Nisar Ali Khan', 'Civil Guard', 'Head of Government (Poland)', 'Viktor Orban', 'Citizen (Cape Verde)', 'Jakaya Mrisho Kikwete', 'Catherine Ashton']"
144,Police (South Korea),Investigate,South Korea,2014-05-06,"['South Korea', 'Malaysia', 'North Korea', 'Guy Ryder', 'Ministry (Liberia)', 'Djoomart Otorbaev', 'Citizen (South Korea)', 'Military (El Salvador)', 'Interfax', 'Police (South Korea)']"
145,Iran,Host a visit,Foreign Affairs (Luxembourg),2014-06-03,"['Jens Stoltenberg', 'Other Authorities / Officials (Romania)', 'Congress of South African Trade Unions', 'Mary Robinson', 'Anson Chan', 'Paul Kagame', 'Activist (Nigeria)', 'Victoria Nuland', 'Mexico', 'Iran']"
146,Police (Philippines),Make statement,Criminal (Philippines),2014-02-24,"['Communist Party of India', 'Abdirahman Ducaale Bayle', 'Criminal (Philippines)', 'Other Authorities / Officials (Libya)', 'Police (Philippines)', 'Foreign Affairs (Liberia)', 'Ukrinform', 'Legislature (Argentina)', 'Muhammadu Buhari', 'Toomas Hendrik Ilves']"
147,Police (Australia),Accuse,Women (Australia),2014-07-11,"['Insurgent (Afghanistan)', 'Carrie Lam', 'Togo', 'Foreign Affairs (Czech Republic)', 'Royal Administration (Jordan)', 'Police (Australia)', 'Police (United States)', 'Other Authorities / Officials (Nigeria)', 'Jens Stoltenberg', 'International Government Organizations']"
148,China,Threaten,Japan,2014-05-23,"['Japan', 'Combatant (Syrian Kurds)', 'Tajikistan', 'Energy Department/Ministry (Iran)', 'Education Ministry (United Arab Emirates)', 'China', 'Victor Ponta', '""Citizen (Cote d\\\'Ivoire)""', 'Kidnapper (Indonesia)', 'Royal Administration (Jordan)']"
149,Iraq,Employ aerial weapons,Terrorist (Islamic State of Iraq and the Levant),2014-10-29,"['Citizen (Brazil)', 'Reuven Rivlin', 'Prem Tinsulanonda', 'Businessperson (South Africa)', 'Iraq', 'Citizen (United Kingdom)', 'Hamdeen Sabahi', 'Head of Government (Senegal)', 'Bhutan', 'Head of Government (Mexico)']"
150,Japan,Engage in negotiation,North Korea,2014-05-30,"['North Korea', 'Terrorist (Syria)', 'Philip Hammond', 'Agence France-Presse', 'Treasury/Finance Ministry (Bangladesh)', 'South Africa', 'Lawmaker (Indonesia)', 'Sudan', 'Japan', 'New Zealand']"
151,Citizen (Nigeria),Accuse,Government (Nigeria),2014-03-21,"['Congress of South African Trade Unions', 'Anabela Rodrigues', 'Carrie Lam', 'Government (Nigeria)', 'Citizen (Nigeria)', 'Daniel Scioli', 'Oman', 'Foreign Affairs (Hungary)', 'Ethiopia', 'Head of Government (India)']"
152,Head of Government (Pakistan),Reject,Criminal (Pakistan),2014-12-22,"['Abdullah Gül', 'Togo', 'Other Authorities / Officials (Zimbabwe)', 'Head of Government (Pakistan)', 'Tsai Ing-wen', 'János Áder', 'Philip Hammond', 'Men (India)', 'Education (Nigeria)', 'Kevin Rudd']"
153,Foreign Affairs (Russia),Consult,Foreign Affairs (Syria),2014-10-17,"['Refugee (Chad)', 'Costco', 'Police (South Africa)', 'Foreign Affairs (Hungary)', 'Citizen (Brazil)', 'Foreign Affairs (Syria)', 'Benjamin Netanyahu', 'Foreign Affairs (Russia)', 'European Central Bank', 'Oommen Chandy']"
154,Police (Australia),Investigate,Women (Australia),2014-01-08,"['Foreign Affairs (Israel)', 'Andrej Kiska', 'Micky Rosenfeld', 'Arab Israelis', 'Police (Australia)', 'Dino Melaye', 'Women (Australia)', 'Greenpeace', 'Government (Kenya)', '""Peter O\\\'Neill""']"
155,Citizen (Zambia),Accuse,Michael Sata,2014-03-16,"['Djoomart Otorbaev', 'Canadian Armed Forces', 'UN Security Council', 'Alexander Stubb', 'Other Authorities / Officials (Romania)', 'Citizen (Zambia)', 'Military Personnel (Nigeria)', 'Foreign Affairs (Macedonia)', 'Party Member (Afghanistan)', 'Clergy (Nigeria)']"
156,Cambodia,Occupy territory,Vietnam,2014-08-07,"['Vietnam', 'South Africa', 'Slovenia', 'Media Personnel (Australia)', 'Interfax', 'Chuck Hagel', 'Governor (India)', 'Member of Legislative (Govt) (Afghanistan)', 'Cambodia', 'Democratic Forces for the Liberation of Rwanda']"
157,Serbia,Host a visit,Tomislav Nikolić,2014-03-25,"['High Commission for Refugees', 'Nationalist Movement Party', 'Media (Africa)', 'High Ranking Military Personnel (United Kingdom)', 'Serbia', 'Other Authorities / Officials (Russia)', '""Citizen (Cote d\\\'Ivoire)""', 'Shahin Mustafayev', 'Ministry of Mining (Zimbabwe)', 'Nguyen Phu Trong']"
158,Citizen (India),Reduce relations,Employee (India),2014-11-07,"['Military (Middle East)', 'Dinka', 'Nasser Judeh', 'Media (India)', 'Government (United States)', 'Citizen (India)', 'Canada', 'National Council for Peace and Order of Thailand', 'Police (Ethiopia)', 'Royal Administration (Spain)']"
159,China,Host a visit,Japan,2014-05-29,"['Tarun Gogoi', 'Congress (United States)', 'Medical Personnel (Jordan)', 'Airline (Canada)', 'China', 'Special Rapporteurs of the United Nations', 'National Anti-Corruption Commission (Thailand)', 'Ivan Gasparovic', 'Legislature (Czech Republic)', 'Japan']"
160,Protester (Thailand),"Protest violently, riot",Thailand,2014-01-20,"['Malaysia', 'Citizen (Thailand)', 'Gabriel Torwua Suswam', 'City Mayor (Philippines)', 'Business (Iran)', 'Julie Bishop', 'South Korea', 'Media (China)', 'Legislature (Italy)', 'Protester (Thailand)']"
161,South Korea,Criticize or denounce,North Korea,2014-01-29,"['North Korea', 'Abdul Aziz', 'Governor (Kenya)', 'South Korea', 'Heydar Aliyev', 'Head of Government (Kosovo)', 'Special Rapporteurs of the United Nations', 'Jean-Yves Le Drian', 'Michael D. Higgins', 'South Sudan']"
162,Joe Oliver,Express intent to meet or negotiate,Economist (Canada),2014-10-14,"['Legislature (South Africa)', 'Government (Sweden)', 'Business (South Korea)', 'Protester (Paraguay)', 'Joe Oliver', 'Ng Eng Hen', 'Ministry (Liberia)', 'Vitaliy Yarema', 'Barack Obama', 'Citizen (South Korea)']"
163,Japan,Engage in negotiation,South Korea,2014-07-28,"['South Korea', 'South Sudan', 'Ashraf Ghani Ahmadzai', 'Japan', 'Algirdas Butkevičius', 'Josh Earnest', 'Kyoto University', 'Fumio Kishida', 'Afghanistan', 'Jonathan Greenert']"
164,Mohammad Javad Zarif,Halt negotiations,Catherine Ashton,2014-03-23,"['Foreign Affairs (Italy)', 'African Union', 'Labor Union (India)', 'International Monetary Fund', 'Robert Hughes', 'Colombia', 'Defense / Security Ministry (Italy)', 'Police (Egypt)', 'Mohammad Javad Zarif', 'Democratic Party (Nigeria)']"
165,Government (United States),Reject,Veterans (Philippines),2014-04-30,"['Abhisit Vejjajiva', 'Sergey Kuzhugetovich Shoygu', 'Armed Rebel (Syria)', 'Other Authorities / Officials (Philippines)', 'Nasser Judeh', 'European Central Bank', 'Military Personnel (Paraguay)', 'Government (United States)', 'Takeshi Onaga', 'Population (Angola)']"
166,Moazzam Begg,Deny responsibility,John Brennan,2014-12-13,"['""Uganda People\\\'s Defence Force""', 'Shiv Sena', 'Drug Gang (Uganda)', 'Interfax', 'Progressive Party (Nigeria)', 'Moazzam Begg', 'Mary Robinson', 'Jack Dempsey', 'Yemi Osinbajo', 'Joseph Kabila']"
167,Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,France,2014-07-25,"['National Anti-Corruption Commission (Thailand)', 'Ethiopia', 'Gjorge Ivanov', 'Ireland', 'Nabih Berri', 'Head of Government (China)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Tsai Ing-wen', 'Head of Government (Egypt)', 'Government (Africa)']"
168,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-07-13,"['Member of Parliament (South Africa)', 'Religion (India)', 'Philip Boedoro', 'Police (Sudan)', 'South Africa', 'Activist (Syria)', 'Catherine Ashton', 'National Iranian Tanker Company', 'Hemant Soren', 'Men (New Zealand)']"
169,Citizen (Nigeria),Appeal for change in leadership,Government (Nigeria),2014-05-19,"['Government (Nigeria)', 'Farm Worker (Nigeria)', 'Amnesty International', 'Interfax', 'Citizen (Nigeria)', 'Citizen (Kenya)', 'Hamas', 'Congo', 'Defense / Security Ministry (Italy)', 'Head of Government (Qatar)']"
170,Terrorist Leader (Pakistan),Use unconventional violence,Reserve Personnel (Iran),2014-04-02,"['Benjamin Netanyahu', 'Femi Falana', 'Civic Group (India)', 'Organisation of Islamic Cooperation', 'Protester (Paraguay)', 'Dmitry Anatolyevich Medvedev', 'Terrorist Leader (Pakistan)', 'Combatant (Justice and Equality Movement)', 'Popular Congress', 'Ayman Farid Abu-Hadid']"
171,China,Engage in diplomatic cooperation,Ethiopia,2014-05-09,"['Mikhail Margelov', 'Foreign Affairs (United States)', 'Muhammadu Buhari', 'Military (Argentina)', 'Thailand', 'Chief Court Judge (Angola)', 'Majid Takht Ravanchi', 'China', 'Ng Eng Hen', 'Court Judge (Kenya)']"
172,Philippines,Host a visit,Barack Obama,2014-04-21,"['Bank (Iran)', 'Citizen (Brazil)', 'Angela Merkel', 'Barack Obama', 'Sheikh Hamad bin Isa al Khalifah', 'Israeli Defense Forces', 'Sudan', 'Ma Ying Jeou', 'Philippines', 'Children (Israel)']"
173,Police (Kenya),Accuse,Citizen (Kenya),2014-09-17,"['Media (Kenya)', 'Congress (United States)', 'Togo', 'Citizen (Indonesia)', 'Combatant (Iraqi Kurds)', 'Presidential Press Service (Nigeria)', 'Government (United States)', 'Poland', 'Foreign Affairs (Russia)', 'Police (Kenya)']"
