,e1,relation,e2,date,predictions
2284,South Africa,Sign formal agreement,Mexico,2014-10-21,"['Military Personnel (Afghanistan)', 'Air Force (Iraq)', 'Mexico', 'Foreign Affairs (United States)', 'Augustine Alegeh', 'Legislature (Czech Republic)', 'Food and Agriculture Organization', 'Riek Machar', 'Togo', 'Mohammad Javad Zarif']"
2285,Inter-Services Intelligence,Consult,John Campbell,2014-12-22,"['Governor (Somalia)', 'Governor (Thailand)', 'Chief of Staff (French Air Force)', 'South Africa', 'John Campbell', 'Central Military Commission', 'Laos', 'Chuck Hagel', 'Miguel Ángel Osorio Chong', 'Head of Government (Egypt)']"
2286,Arseniy Yatsenyuk,Make statement,Interfax,2014-12-16,"['Government (United States)', 'Emmanuel Eweta Uduaghan', 'Philip Hammond', 'Party Member (Bolivia)', 'Business (Uruguay)', 'Alexis Tsipras', 'Gurbanguly Berdymukhammedov', 'Head of Government (Gambia)', 'Citizen (Germany)', 'Amnesty International']"
2287,Military Personnel (Philippines),Make statement,Philippines,2014-12-10,"['United Arab Emirates', 'Victor Ponta', 'Philippines', 'Education (United States)', 'Ministry (France)', 'Member of Parliament (Germany)', 'Armed Forces of the Republic of Armenia', 'Media (Africa)', 'Kuwait', 'Citizen (Kenya)']"
2288,Massoud Barzani,Make statement,Angela Merkel,2014-08-16,"['Kim Jong-Un', 'Angela Merkel', 'Nuri al-Maliki', 'China', 'Member of the Judiciary (South Korea)', 'Antonis Samaras', 'Simbarashe Mumbengegwi', 'Iran', 'Ombudsman (Georgia)', 'Dmitry Anatolyevich Medvedev']"
2289,Foreign Affairs (Russia),Make statement,RIA Novosti,2014-08-23,"['Lawyer/Attorney (Kenya)', 'Farm Worker (Thailand)', 'Foreign Affairs (Macedonia)', 'Citizen (Yemen)', 'Education Ministry (United Arab Emirates)', 'Businessperson (United Kingdom)', 'Harish Rawat', 'Rights Activist (Belarus)', 'Children (Israel)', 'Party Member (United Kingdom)']"
2290,Agence France-Presse,Discuss by telephone,Riek Machar,2014-01-10,"['Riek Machar', 'Secret Agent (Philippines)', 'Israeli Defense Forces', 'Congress of South African Trade Unions', 'Agence France-Presse', 'Serbia', 'Police (Hong Kong)', 'Maldives', 'Mary Robinson', 'China']"
2291,"Head of Government (Palestinian Territory, Occupied)",Make statement,"Government (Palestinian Territory, Occupied)",2014-06-10,"['Military Personnel (Uganda)', 'Treasury/Finance Ministry (Bangladesh)', 'Ministry (Bosnia and Herzegovina)', 'International Monetary Fund', 'Foreign Affairs (Macedonia)', 'Government (Palestinian Territory', 'Occupied)', 'Presidential Press Service (Nigeria)', 'Catherine Ashton', 'Dmitry Anatolyevich Medvedev', 'Government (Argentina)']"
2292,Israeli Defense Forces,Make statement,Hamas,2014-08-06,"['Malaysia', 'Hezbollah', 'Ministry (Liberia)', 'Ivan Gasparovic', 'Party President (Turkey)', 'Congo', 'Other Authorities / Officials (Libya)', 'John Dramani Mahama', 'Simbarashe Mumbengegwi', 'Cameroon']"
2293,North Atlantic Treaty Organization,Sign formal agreement,Afghanistan,2014-10-02,"['Raheel Sharif', 'Abdullah Abdullah', 'Murtala Nyako', 'Ireland', 'Scott Emerson', 'Citizen (Brazil)', 'Democratic Party (Nigeria)', 'Gurbanguly Berdymukhammedov', 'Military Personnel (Paraguay)', 'Military Personnel (Kenya)']"
2294,Head of Government (Pakistan),Make statement,Afghanistan,2014-02-28,"['Lawmaker (Indonesia)', 'Agence France-Presse', 'Military (El Salvador)', 'Afghanistan', 'Defense / Security Ministry (Ukraine)', 'Military (North Korea)', 'Raúl Castro', 'Public Prosecutor (Greece)', 'Foreign Affairs (Liberia)', 'City Mayor (Philippines)']"
2295,Barack Obama,Make a visit,China,2014-10-02,"['China', 'Defense / Security Ministry (Nigeria)', 'Rights Activist (China)', 'Mikhail Margelov', 'Muhammadu Buhari', 'Iraq', 'Association of Southeast Asian Nations', 'Kidnapper (Argentina)', 'Philip Hammond', 'Emmanuel Eweta Uduaghan']"
2296,Barack Obama,Consult,Toomas Hendrik Ilves,2014-02-21,"['Toomas Hendrik Ilves', 'Arab Israelis', 'Sheikh Hamad bin Isa al Khalifah', 'Criminal (Togo)', 'Lawmaker (Indonesia)', 'Cameroon', 'Police (Benin)', 'Congress of South African Trade Unions', 'Ministry of Shipping (India)', 'Dmitry Anatolyevich Medvedev']"
2297,Joseph Robinette Biden,Consult,Head of Government (Latvia),2014-04-30,"['Police (Ethiopia)', 'Michael Sata', 'Arseniy Yatsenyuk', 'Citizen (India)', 'Mexico', 'Joseph Robinette Biden', 'Christian Democratic Union', 'Foreign Affairs (Venezuela)', 'Member of Legislative (Govt) (Iran)', 'Vietnam']"
2298,Chuck Hagel,Consult,Julie Bishop,2014-08-19,"['Julie Bishop', 'Inter-Services Intelligence', 'Thailand', 'Military (Argentina)', 'Legislature (Italy)', 'Legislature (Romania)', 'Zhang Dejiang', 'Hun Sen', 'Abdul Aziz', 'Head of Government (Egypt)']"
2299,Drug Enforcement Administration,Engage in diplomatic cooperation,Bahamas,2014-11-13,"['Other Authorities / Officials (Romania)', 'People Associated with the Opposition (Bahrain)', 'Lawyer/Attorney (Ethiopia)', 'Citizen (India)', 'Barack Obama', 'Criminal (Guatemala)', 'Somsavat Lengsava', 'Hemant Soren', 'Member of Parliament (Australia)', 'Police (South Korea)']"
2300,Al-Shabaab,Make statement,Combatant (Kenya),2014-06-18,"['Legislature (Italy)', 'Al-Shabaab', 'Democratic Party (Nigeria)', 'Ryoo Kihl-jae', 'Military Personnel (Thailand)', 'Conservative Party (United Kingdom)', 'Arab Israelis', 'Criminal (Brazil)', 'Priest (Holy See (Vatican City State))', 'Nasser Judeh']"
2301,Government (United Arab Emirates),Make an appeal or request,High Ranking Military Personnel (United Arab Emirates),2014-07-07,"['Other Authorities / Officials (Mexico)', 'Manuel Nunes Júnior', 'Thailand', 'DPWH', 'Raúl Castro', 'Kashmir Singh', 'Ishaq Dar', 'Michael D. Higgins', 'Ministry (Venezuela)', 'Scholar (Nigeria)']"
2302,Gjorge Ivanov,Consult,Tomislav Nikolić,2014-07-15,"['Tomislav Nikolić', 'Business (Canada)', 'Military Advisor (United States)', 'Royal Thai Police', 'Foreign Affairs (Italy)', 'Mahinda Rajapaksa', 'Evo Morales', 'Sujatha Singh', 'Eritrea', 'Government Official (Papua New Guinea)']"
2303,Mauritania,Coerce,Citizen (Mauritania),2014-05-13,"['Toomas Hendrik Ilves', 'Police (Burundi)', 'Mauritania', 'Citizen (Germany)', 'Independent High Electoral Commission', 'Police (Belgium)', 'Gambia', 'Mohamed Ould Abdel Aziz', 'Kyoto University', 'Businessperson (Italy)']"
2304,Protester (Macedonia),Demonstrate or rally,Police (Macedonia),2014-07-06,"['France', 'Election Commission (India)', 'United Arab Emirates', 'Ashraf Ghani Ahmadzai', 'Alexander Lukashevich', 'National Anti-Corruption Commission (Thailand)', 'Khalid bin Ali Al Khalifa', 'Business (Russia)', 'Morgan Tsvangirai', 'Men (United Kingdom)']"
2305,Company - Owner or Operator (India),Make an appeal or request,Citizen (India),2014-08-29,"['Citizen (India)', 'Religion (India)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Tajikistan', 'Police (Burundi)', 'Pavlo Klimkin', 'Associated Press', 'Company - Owner or Operator (India)', 'Hamas', 'Head of Government (Egypt)']"
2306,City Mayor (Iraq),Make statement,Iraq,2014-02-22,"['Colombia', 'Aam Aadmi Party', 'Victor Ponta', 'Iraq', 'Protester (Thailand)', 'Djibouti', 'Macky Sall', 'Mamnoon Hussain', 'Liyel Imoke', 'Militant (Turkey)']"
2307,Main Opposition (Turkey),Express intent to meet or negotiate,Legislature (Turkey),2014-03-12,"['Armed Gang (Mexico)', 'Employee (Philippines)', 'Media (Africa)', 'Michael D. Higgins', 'Drug Gang (Uganda)', 'Poland', 'Pope Francis', 'Royal Thai Police', 'Member of the Judiciary (South Korea)', 'Eric Matinenga']"
2308,Military (South Sudan),Mobilize or increase armed forces,South Sudan,2014-01-03,"['Military (Lebanon)', 'Doctors Without Borders', 'Party Member (Taiwan)', 'Mujahideen (Somalia)', 'Justin Trudeau', 'Abdullah Gül', 'South Sudan', 'Fumio Kishida', 'Citizen (India)', 'Congo']"
2309,Salvador Sánchez Cerén,Consult,Joseph Robinette Biden,2014-07-26,"['Joseph Robinette Biden', 'Kisii', 'Armenia', 'Citizen (Venezuela)', 'Jyrki Katainen', 'Dmitry Anatolyevich Medvedev', 'National Iranian Tanker Company', 'Kyoto University', 'Ministry (Norfolk Island)', 'Police (Ethiopia)']"
2310,Afghanistan,Host a visit,John Kerry,2014-08-14,"['John Kerry', 'Foreign Affairs (Italy)', 'International Government Organizations', 'Main Opposition (Turkey)', 'Michael Sata', 'Employee (Philippines)', 'Special Rapporteurs of the United Nations', 'Evangelos Venizelos', 'Education (United States)', 'Iran']"
2311,North Korea,Make a visit,South Korea,2014-09-17,"['South Korea', 'North Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'China', 'Xi Jinping', 'Cabinet / Council of Ministers / Advisors (United States)']"
2312,Police (Croatia),"Arrest, detain, or charge with legal action",Citizen (Croatia),2014-11-17,"['Citizen (Indonesia)', 'North Atlantic Treaty Organization', 'Children (Zimbabwe)', 'Inter-Services Intelligence', 'Citizen (Zambia)', 'Chief of Staff (Tunisia)', 'Environment Department/Ministry (Malaysia)', 'Office of the United Nations High Commissioner for Human Rights', 'Congress (United States)', 'Agence France-Presse']"
2313,Olugbenga Ashiru,Make empathetic comment,Citizen (Nigeria),2014-12-01,"['Citizen (Nigeria)', 'Treasury/Finance Ministry (Bangladesh)', 'Legislature (Greece)', 'Congress (Nigeria)', 'Azubuike Ihejirika', 'Miguel Ángel Osorio Chong', 'Foreign Affairs (India)', 'Member of Legislative (Govt) (Afghanistan)', 'Sikh (India)', 'National Intelligence Bureau (China)']"
2314,Rights Activist (Belarus),Provide aid,Citizen (Belarus),2014-06-23,"['Party Member (Taiwan)', 'Inter-Services Intelligence', 'Municipal Court (Czech Republic)', 'Congress (United States)', 'Citizen (Indonesia)', 'Rights Activist (Belarus)', 'Military (Argentina)', 'Organized Crime (Holy See (Vatican City State))', 'Bolivia', 'Government (Africa)']"
2315,Pokot,Yield,Police (Kenya),2014-11-05,"['Police (Kenya)', 'Umar al Bashir', 'Government (Kenya)', 'Company - Owner or Operator (Italy)', 'Shahin Mustafayev', 'France', 'Citizen (Venezuela)', 'Sergey Kuzhugetovich Shoygu', 'Lawyer/Attorney (Australia)', 'Business (Russia)']"
2316,Criminal (Philippines),Use unconventional violence,Military Personnel (Philippines),2014-07-09,"['Military Personnel (Paraguay)', 'Citizen (Namibia)', 'Militia (Syrian Kurds)', 'Military Personnel (Philippines)', 'Indigenous People (Nigeria)', 'Fumio Kishida', 'Detainee (Rwanda)', 'Aam Aadmi Party', 'Member of the Judiciary (United Kingdom)', 'Armed Rebel (Ukraine)']"
2317,Riek Machar,Engage in negotiation,Umar al Bashir,2014-08-10,"['Umar al Bashir', 'Interfax', 'Legislature (Russia)', 'Ng Eng Hen', 'International Court of Justice', 'Congress of South African Trade Unions', 'Jean Chrétien', 'Moro Islamic Liberation Front', 'Lawmaker (Russia)', 'Military (South Sudan)']"
2318,Other Authorities / Officials (Libya),Make statement,Ansar al-Sharia in Libya,2014-05-14,"['Sheikh Hamad bin Isa al Khalifah', 'North Atlantic Treaty Organization', 'Al Jazeera', 'Energy Department/Ministry (Iran)', 'Svoboda', 'Other Authorities / Officials (Libya)', 'Police (Canada)', 'Ng Eng Hen', 'Ishaq Dar', 'Citizen (South Korea)']"
2319,Association of Southeast Asian Nations,Sign formal agreement,Japan,2014-11-12,"['Japan', 'Interfax', 'Arseniy Yatsenyuk', 'Military (Argentina)', 'Party Member (Afghanistan)', '""Uganda People\'s Defence Force""', 'Sudan', 'Treasury/Finance Ministry (Thailand)', 'Mbhazima Samuel Shilowa', 'Edgars Rinkevics']"
2320,Kazakhstan,Host a visit,François Hollande,2014-12-09,"['Evangelos Venizelos', 'Macky Sall', 'Sergey Viktorovich Lavrov', 'Uhuru Muigai Kenyatta', 'Business (Bulgaria)', 'Naval (United Kingdom)', 'Kyoto University', 'Alexander Lukashevich', 'Al Jazeera', 'Foreign Affairs (Ukraine)']"
2321,City Mayor (Venezuela),Make statement,Government (Venezuela),2014-03-09,"['Military Personnel (Mali)', 'Mohammad Javad Zarif', 'Citizen (Tanzania)', 'Amit Shah', 'Foreign Affairs (Russia)', 'Governor (India)', 'Theresa May', 'Business (Netherlands)', 'Media Personnel (Zimbabwe)', 'Citizen (Turkey)']"
2322,Citizen (India),Make an appeal or request,Media (India),2014-03-12,"['News Editor (Niger)', 'Ryoo Kihl-jae', 'Muhammadu Buhari', 'Associated Press', 'Cambodia', 'Lawmaker (Lithuania)', 'Businessperson (Mauritania)', 'Police (Syria)', 'Head of Government (Pakistan)', 'Citizen (Zambia)']"
2323,France,Express intent to meet or negotiate,China,2014-11-24,"['China', 'Colombia', 'Togo', 'Kuwait', 'France', 'Bank (Albania)', 'Dinka', 'Head of Government (Poland)', 'The Standard', 'Thailand']"
2324,Kivutha Kibwana,Consult,Citizen (Kenya),2014-02-20,"['Citizen (Kenya)', 'Head of Government (Ethiopia)', 'Justicialist Party', 'Ministry (Venezuela)', 'Party Member (Afghanistan)', 'People Associated with the Opposition (Argentina)', 'Abdul Aziz', 'Business (Uruguay)', 'Member of Parliament (Sri Lanka)', 'Citizen (Bulgaria)']"
2325,China,Sign formal agreement,Malaysia,2014-05-24,"['Malaysia', 'China', 'South Korea', 'Other Authorities / Officials (Mexico)', 'Amnesty International', 'Police (Sudan)', 'Iraq', 'Food and Agriculture Organization', 'Abdullah Gül', 'Kapil Sibal']"
2326,Maldives,Express intent to cooperate,Japan,2014-04-16,"['Japan', 'Malaysia', 'Armed Rebel (Ukraine)', 'Governor (Democratic Republic of Congo)', 'Party Member (Afghanistan)', 'Election Commission (India)', 'Indigenous People (Malawi)', 'Congo', 'Head of Government (Brazil)', 'Hemant Soren']"
2327,National Council for Peace and Order of Thailand,Engage in diplomatic cooperation,China,2014-07-02,"['China', 'Ireland', 'Armed Rebel (Ukraine)', 'Nathan Cirillo', 'Gjorge Ivanov', 'Prem Tinsulanonda', 'Hamas', 'Indigenous People (Nigeria)', 'Nabih Berri', 'Kevin Rudd']"
2328,Member of Parliament (India),Appeal for diplomatic cooperation (such as policy support),Citizen (India),2014-08-04,"['Citizen (India)', 'Citizen (United Kingdom)', 'Kisii', 'Citizen (Tanzania)', 'Evangelos Venizelos', 'Xi Jinping', 'Tamar Beruchashvili', 'Treasury/Finance Ministry (Bangladesh)', 'Media Personnel (France)', 'City Mayor (South Africa)']"
2329,Foreign Affairs (Norway),Express intent to engage in diplomatic cooperation (such as policy support),Angola,2014-05-29,"['Activist (Nigeria)', 'Education (Costa Rica)', 'Foreign Affairs (South Korea)', 'John Kerry', 'Irakli Alasania', 'Angola', 'Congress of South African Trade Unions', 'Company - Owner or Operator (Nigeria)', 'Hezbollah', 'European Parliament']"
2330,Portugal,Engage in diplomatic cooperation,Iran,2014-10-08,"['Iran', 'Legislature (Libya)', '""Uganda People\'s Defence Force""', 'Men (United States)', 'Eugene Wamalwa', 'Military Personnel (Bahrain)', 'Legislature (Argentina)', 'City Mayor (South Africa)', 'Businessperson (Italy)', 'Muhammadu Buhari']"
2331,Austria Press Agency,Reject,Boko Haram,2014-05-12,"['National Unity Party (Somalia)', 'Boko Haram', 'Trade Union Congress', 'Interfax', 'Arseniy Yatsenyuk', 'Angola', 'Defector (South Korea)', 'Canada', 'Head of Government (China)', 'Tamar Beruchashvili']"
2332,Ethiopia,Host a visit,Head of Government (China),2014-05-04,"['Citizen (Turkey)', 'Sikh (India)', 'Gjorge Ivanov', '""Citizen (Cote d\'Ivoire)""', 'Court Judge (Iraq)', 'Liberal Democratic Party of Russia', 'Head of Government (Brazil)', 'Public Prosecutor (Greece)', 'Other Authorities / Officials (Philippines)', 'Japan Self-Defense Forces']"
2333,Tim Nicholls,Demand,Campbell Newman,2014-10-05,"['Eugene Wamalwa', 'Member of Parliament (India)', 'Business (Iran)', 'Iran', 'Kim Jong-Un', 'Laos', 'Zalmai Rassoul', 'Djoomart Otorbaev', 'Campbell Newman', 'Agence France-Presse']"
2334,Fumio Kishida,Make statement,North Korea,2014-10-21,"['Mahinda Rajapaksa', 'North Korea', 'Interfax', 'Villager (India)', 'Member of Parliament (India)', 'Tarun Gogoi', 'Other Authorities / Officials (China)', 'Congo', 'Sindh High Court', 'Boko Haram']"
2335,Armenia,Consult,Iran,2014-10-22,"['Iran', 'Justice and Development Party', '""Uganda People\'s Defence Force""', 'Food and Agriculture Organization', 'Media (Africa)', 'Simbarashe Mumbengegwi', 'Men (United States)', 'Josh Earnest', 'Government (United States)', 'High Commission for Refugees']"
2336,Paul Kagame,Make a visit,William Ruto,2014-12-12,"['William Ruto', 'Ministry (Malaysia)', 'Theresa May', 'Legislature (Czech Republic)', 'Joseph Robinette Biden', 'North Korea', 'Other Authorities / Officials (Egypt)', 'Party Member (Taiwan)', 'Canada', 'Frank Bainimarama']"
2337,Xi Jinping,Express intent to cooperate,Islam Karimov,2014-08-19,"['International Monetary Fund', 'Media (Africa)', 'Main Opposition (United Kingdom)', 'Other Authorities / Officials (Lebanon)', 'Tamar Beruchashvili', 'High Commission for Refugees', 'Government (Palestinian Territory', 'Occupied)', 'Police (Indonesia)', 'City Mayor (Ukraine)', 'Member of Parliament (Ukraine)']"
2338,Head of Government (Ukraine),Halt negotiations,International Monetary Fund,2014-03-23,"['Ministry (Venezuela)', 'Bhutan', 'Opposition Supporter (Pakistan)', 'Serbia', 'Canada', 'Criminal (Guatemala)', 'Tamar Beruchashvili', 'François Hollande', 'Ivan Gasparovic', 'Party Member (Afghanistan)']"
2339,Police (Philippines),Make statement,Secret Agent (Philippines),2014-06-13,"['Foreign Affairs (Russia)', 'Milos Zeman', 'Citizen (Bangladesh)', 'Head of Government (Egypt)', 'Military Personnel - Special (Mexico)', 'Kuwait', 'Indigenous People (Thailand)', 'Secret Agent (Philippines)', 'James Wani Igga', 'National Anti-Corruption Commission (Thailand)']"
2340,Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Afghanistan,2014-08-06,"['Election Commission (Afghanistan)', 'Armed Rebel (Syria)', 'Iraq', 'Military Personnel (Paraguay)', 'Defector (South Korea)', 'Military (Turkey)', 'Head of Government (Poland)', 'Legislature (China)', '""Uganda People\'s Defence Force""', 'Citizen (Germany)']"
2341,Guenther Oettinger,Engage in negotiation,Alexei Miller,2014-08-30,"['Alexei Miller', 'Defense / Security Ministry (Nigeria)', 'Abdelilah Benkirane', 'Niger', 'Rioter (Myanmar)', 'Ministry (Norfolk Island)', 'Armed Rebel (Ukraine)', 'Foreign Affairs (Ethiopia)', 'Khalid bin Ali Al Khalifa', 'Sadayuki Sakakibara']"
2342,Government (Angola),Criticize or denounce,Angola,2014-02-12,"['Citizen (Germany)', 'Nicolai Wammen', 'Legislature (Czech Republic)', 'Angola', 'Mary Robinson', 'Ministry of Shipping (India)', 'Democratic Forces for the Liberation of Rwanda', 'National Anti-Corruption Commission (Thailand)', 'Government (United States)', 'Police (Malaysia)']"
2343,Citizen (Nigeria),Accuse,Government (Nigeria),2014-01-07,"['Congress of South African Trade Unions', 'Anabela Rodrigues', 'Carrie Lam', 'Government (Nigeria)', 'Citizen (Nigeria)', 'Daniel Scioli', 'Oman', 'Foreign Affairs (Hungary)', 'Ethiopia', 'Head of Government (India)']"
2344,China,Make an appeal or request,Angola,2014-12-23,"['Vitali Klitschko', 'Ethiopia', 'Uhuru Muigai Kenyatta', 'Indigenous People (Greece)', 'News Editor (Niger)', 'Ivan Gasparovic', 'Sergey Kuzhugetovich Shoygu', 'Warren Truss', 'János Áder', 'Manuel Nunes Júnior']"
2345,Congress (Argentina),Accuse,Government (Argentina),2014-12-02,"['Thief (New Zealand)', 'Dmitry Anatolyevich Medvedev', 'Israeli Defense Forces', 'Police (Tanzania)', 'Protester (Paraguay)', 'Andriy Klyuyev', 'Legislature (Serbia)', 'Mary Robinson', 'Legislature (Libya)', 'Armed Band (Philippines)']"
2346,Catherine Ashton,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-03-03,"['Agence France-Presse', 'Joseph Robinette Biden', 'Citizen (Venezuela)', 'Serbia', 'Angola', 'Milos Zeman', 'Governor (Papua New Guinea)', 'People Associated with the Opposition (Ukraine)', 'Member of the Judiciary (Kyrgyzstan)', 'Anandiben Patel']"
2347,Foreign Affairs (Romania),Make an appeal or request,Foreign Affairs (Russia),2014-05-10,"['Agence France-Presse', 'Foreign Affairs (Russia)', 'People Associated with the Opposition (Bahrain)', 'Citizen (Bangladesh)', 'Lawmaker (Indonesia)', 'Citizen (Venezuela)', 'Member of Parliament (Australia)', 'Defense / Security Ministry (Egypt)', 'Radimir Čačić', 'Citizen (Cape Verde)']"
2348,Barack Obama,Mobilize or increase police power,Iraq,2014-11-15,"['Iraq', 'Government (Pakistan)', 'Angola', 'Cristina Fernández de Kirchner', 'Gjorge Ivanov', 'Member of the Judiciary (Nigeria)', 'Defense / Security Ministry (Nigeria)', 'Citizen (Yemen)', 'Citizen (United Kingdom)', 'Boko Haram']"
2349,Iran,Make an appeal or request,Other Authorities / Officials (Turkey),2014-10-08,"['Labor Union (Nigeria)', 'Pope Francis', 'Democratic Party (Nigeria)', 'Head of Government (Latvia)', 'Cristina Fernández de Kirchner', 'Head of Government (Kosovo)', 'Defense / Security Ministry (Nigeria)', 'Murtala Nyako', 'Men (United States)', 'Women (Angola)']"
2350,Court Judge (Egypt),Make an appeal or request,Lawyer/Attorney (Egypt),2014-03-22,"['Police (Belgium)', 'Cleric (Pakistan)', 'Tim Cook', 'Paraguay', 'Court Judge (Kenya)', 'Head of Government (Afghanistan)', 'Warren Truss', 'Kathleen Wynne', 'Naval Base (India)', 'Terrorist Leader (Libya)']"
2351,Police (Australia),Appeal for intelligence,Citizen (Australia),2014-09-19,"['Security Service of Ukraine', 'Appeals Court (Sweden)', 'Citizen (Australia)', 'Criminal (Somalia)', 'New Zealand', 'Military (Niger)', 'Police (Australia)', 'Undersecretary (United States)', 'Pope Francis', 'Augusto Barrera']"
2352,John Kerry,Demand,Nuri al-Maliki,2014-06-13,"['Nuri al-Maliki', 'Business (Uruguay)', 'Militant (Australia)', 'Citizen (Brazil)', 'Arseniy Yatsenyuk', 'Citizen (International)', 'Morgan Tsvangirai', 'Member of Parliament (Sri Lanka)', 'Military (Russia)', 'Mohammad Javad Zarif']"
2353,Guerrilla (Colombia),"Abduct, hijack, or take hostage",Colombia,2014-12-22,"['Colombia', 'Representatives (Slovakia)', 'Ukrinform', 'Macky Sall', 'Military (Central African Republic)', 'Media (Zimbabwe)', 'Chief of Staff (Iraq)', 'Middle East', 'Citizen (Kyrgyzstan)', 'Military (China)']"
2354,Foreign Affairs (United States),Make statement,Government (Nigeria),2014-12-05,"['Benjamin Netanyahu', 'National Council for Peace and Order of Thailand', 'Citizen (United Kingdom)', 'Military Personnel (Bahrain)', 'Ashraf Ghani Ahmadzai', 'Citizen (Bangladesh)', 'Intelligence (United States)', 'Lawyer/Attorney (Philippines)', 'Foreign Affairs (Venezuela)', 'People Associated with the Opposition (Ukraine)']"
2355,Media Personnel (France),Make statement,France,2014-09-04,"['France', 'Military Personnel (Mali)', 'Combatant (Egypt)', 'Member of Parliament (Australia)', 'Afghanistan', 'Colombia', 'Vietnam', 'Somsavat Lengsava', 'Ma Ying Jeou', 'Philippines']"
2356,Businessperson (South Africa),Make statement,Religion (South Africa),2014-04-26,"['Bank (Iran)', 'Hassan Joho', 'Paul Kagame', 'Tarun Gogoi', 'Opposition Supporter (Pakistan)', 'Police (Indonesia)', 'Liyel Imoke', 'Veterans (United States)', 'Yogendra Yadav', 'Eli Yishai']"
2357,Senate (Romania),Praise or endorse,Florin Georgescu,2014-06-17,"['Lawyer/Attorney (Peru)', 'Environment Department/Ministry (Jordan)', 'Medical Personnel (Australia)', 'Moro Islamic Liberation Front', 'Bhutan', 'International Court of Justice', 'Interfax', 'Haider Al-Abadi', 'Military Personnel - Special (Kenya)', 'Thaksin Shinawatra']"
2358,John Kerry,Mediate,Middle East,2014-01-30,"['Police (Burundi)', 'National Anti-Corruption Commission (Thailand)', 'Macky Sall', 'Citizen (South Korea)', 'Government Official (Egypt)', 'Population (Angola)', 'Thailand', 'Military Personnel (Mali)', 'Member of Parliament (India)', 'City Mayor (Croatia)']"
2359,Elio Di Rupo,Make an appeal or request,Citizen (Belgium),2014-09-14,"['Augusto Barrera', 'Abdul Aziz', 'Head of Government (Ukraine)', 'Shahin Mustafayev', 'Citizen (Namibia)', 'Criminal (Australia)', 'Military (Lebanon)', 'Jakaya Mrisho Kikwete', 'Police (Dominica)', 'Agence France-Presse']"
2360,Legislature (Argentina),Investigate,Government (Argentina),2014-06-28,"['Chief Court Judge (Angola)', 'Foreign Affairs (Venezuela)', 'Head of Government (Germany)', 'Holy See', '""Awami (People\'s) League""', 'Scott Emerson', 'Rights Activist (China)', 'Men (United States)', 'Head of Government (Mexico)', 'Head of Government (Greece)']"
2361,Aladdin Boroujerdi,Make statement,Iran,2014-06-26,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
2362,Labor Union (Bulgaria),Sign formal agreement,Business (Bulgaria),2014-10-10,"['Business (Bulgaria)', 'Abdirahman Ducaale Bayle', 'Citizen (Cape Verde)', 'Armed Gang (United States)', 'Greenpeace', 'Ministry (Venezuela)', '""Military (Cote d\'Ivoire)""', 'Government (Sudan)', 'Treasury/Finance Ministry (Bangladesh)', 'Ministry (Iran)']"
2363,Other Authorities / Officials (Turkey),Impose restrictions on political freedoms,Citizen (Turkey),2014-03-31,"['Military (China)', 'Opposition Supporter (India)', 'European Parliament', 'Agence France-Presse', 'Cristina Fernández de Kirchner', 'Defense / Security Ministry (Italy)', 'Abdirahman Ducaale Bayle', 'Somsavat Lengsava', 'Justice and Development Party', 'Colombia']"
2364,Canada,Provide humanitarian aid,Vietnam,2014-11-15,"['Citizen (Turkey)', 'Vietnam', 'Kyoto University', 'Israeli Defense Forces', 'Defense / Security Ministry (Nigeria)', 'Murtala Nyako', 'Population (Angola)', 'New Zealand', 'Party Member (Japan)', 'Royal Administration (Spain)']"
2365,Iran,Engage in negotiation,Bertie Ahern,2014-02-04,"['Iran', 'Bertie Ahern', 'Kashim Shettima', 'People Associated with the Opposition (Turkey)', 'Defense / Security Ministry (United States)', 'Iraq', 'Human Rights Watch', 'Mary Robinson', 'International Government Organizations', 'Military Personnel (Canada)']"
2366,Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-11-17,"['Head of Government (India)', 'Morgan Tsvangirai', 'Activist (Nigeria)', 'Kenneth Roth', 'Poland', 'Shura Council', 'Treasury/Finance Ministry (Thailand)', 'Business (Bulgaria)', 'High Ranking Military Personnel (United Kingdom)', 'Men (India)']"
2367,Boko Haram,Criticize or denounce,Citizen (Unidentified State Actor),2014-02-15,"['Catherine Ashton', 'Takeshi Onaga', 'Ministry (Liberia)', 'Attila Korodi', 'Abdirahman Ducaale Bayle', 'Lawyer/Attorney (Australia)', 'John Dramani Mahama', 'Dmitry Anatolyevich Medvedev', 'Head of Government (Kosovo)', 'People Associated with the Opposition (Russia)']"
