,e1,relation,e2,date,predictions
2466,Japan,Express intent to meet or negotiate,South Korea,2014-04-03,"['Military Personnel (Canada)', 'South Korea', 'Amit Shah', '""Citizen (Cote d\\\'Ivoire)""', 'Armed Gang (Afghanistan)', 'Newspaper (Japan)', 'European Central Bank', 'Royal Administration (Jordan)', 'Employee (Malaysia)', 'Party Member (Taiwan)']"
2467,Chuck Hagel,Express intent to meet or negotiate,Ismet Yilmaz,2014-01-10,"['Isaias Afewerki', 'Settler (Israel)', 'Lawyer/Attorney (Australia)', 'Media Personnel (Sierra Leone)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Angela Merkel', 'Democratic Party (Nigeria)', 'City Mayor (Bosnia and Herzegovina)', 'Men (United States)', 'Organized Crime (Holy See (Vatican City State))']"
2468,François Hollande,Discuss by telephone,Massoud Barzani,2014-08-07,"['Massoud Barzani', 'Edgars Rinkevics', 'Party Member (Afghanistan)', 'Djibouti', 'Treasury/Finance Ministry (Bangladesh)', 'Member of the Judiciary (Bangladesh)', 'Tahirul Qadri', 'Western Sahara', 'Serbia', 'Tarun Gogoi']"
2469,Military Personnel (Philippines),Make statement,Military (Philippines),2014-09-09,"['Secretariat (Nigeria)', 'Congress of South African Trade Unions', 'Government (Kenya)', 'Abhisit Vejjajiva', 'Citizen (South Korea)', 'Party President (Turkey)', 'People Associated with the Opposition (Bahrain)', 'Business (Uruguay)', 'Mob (Mexico)', 'Malaysia']"
2470,Foreign Affairs (United States),Consult,Head of Government (Burundi),2014-04-09,"['Head of Government (Burundi)', 'Head of Government (Egypt)', 'Andrej Kiska', 'Ahmad Umar', 'Indigenous People (Greece)', 'Serbia', 'Criminal (Tanzania)', 'Greenpeace', 'Professor (Iran)', 'Carlos Mesa']"
2471,Iran,Express intent to engage in diplomatic cooperation (such as policy support),United Arab Emirates,2014-04-14,"['United Arab Emirates', 'Employee (Malaysia)', 'All India Sikh Students Federation', 'Canada', 'France', 'City Mayor (South Africa)', 'Tajikistan', 'Austria Press Agency', 'Abdel Fattah Al-Sisi', 'Dmitry Anatolyevich Medvedev']"
2472,Governor (Thailand),Make an appeal or request,Citizen (Thailand),2014-12-22,"['Combatant (Iraqi Kurds)', 'Guy Ryder', 'Citizen (Thailand)', 'Kyoto University', 'Combatant (Islamic State of Iraq and the Levant)', 'Special Rapporteurs of the United Nations', 'Military (North Korea)', 'Gideon Gono', 'Head of Government (Mexico)', 'Ministry (Zimbabwe)']"
2473,France,Sign formal agreement,Poland,2014-03-03,"['Court Judge (Iraq)', 'Head of Government (Brazil)', 'United Russia', 'People Associated with the Opposition (Bahrain)', 'Governor (Angola)', 'Paul Kagame', 'Government (Argentina)', 'Mary Robinson', 'Angola', 'Police (Kenya)']"
2474,Afghanistan,Consult,Kazakhstan,2014-04-11,"['Kazakhstan', 'Court Judge (Nigeria)', 'Agence France-Presse', 'Business (Bahrain)', 'Detainee (Rwanda)', 'National Anti-Corruption Commission (Thailand)', 'Frank Bainimarama', 'Yemi Osinbajo', 'Ministry (Liberia)', 'Kevin Rudd']"
2475,France,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-02-18,"['Fumio Kishida', 'Party Member (Afghanistan)', 'Refugee (Chad)', 'North Atlantic Treaty Organization', 'Member of Parliament (Germany)', 'Opposition Supporter (Pakistan)', 'Oommen Chandy', 'Madagascar', 'Employee (Jordan)', 'Inter-Services Intelligence']"
2476,Citizen (Kenya),Threaten,Government (Kenya),2014-04-13,"['Medical Personnel (Jordan)', 'Finance / Economy / Commerce / Trade Ministry (Canada)', 'Government Official (Japan)', 'Party Member (Japan)', 'Election Commission (India)', 'Gjorge Ivanov', 'Head of Government (Egypt)', 'Kisii', 'Court Judge (Kenya)', 'Women (Israel)']"
2477,Grand National Party,Make an appeal or request,Legislature (South Korea),2014-07-15,"['Geoffrey Pyatt', 'Armed Forces of the Republic of Armenia', 'People Associated with the Opposition (Bahrain)', 'Raja Zafarul Haq', 'Legislature (Russia)', 'Robert Hughes', 'Kim Jong-Un', 'Party Member (Iraq)', 'City Mayor (South Africa)', 'Media (Africa)']"
2478,Foreign Affairs (Cameroon),Make statement,Cameroon,2014-03-06,"['Religion (India)', 'Ministry (Liberia)', 'Yemi Osinbajo', 'Rioter (Myanmar)', 'Main Opposition (Turkey)', 'Doctors Without Borders', 'Congo', 'Foreign Affairs (Ethiopia)', 'Media (India)', 'Andrej Kiska']"
2479,Japan,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2014-10-08,"['Association of Southeast Asian Nations', 'Airline (Canada)', 'Government (Pakistan)', 'Main Opposition (Turkey)', 'Employee (India)', 'Business (Bulgaria)', 'Head of Government (Ukraine)', 'Government (France)', 'Intelligence (United States)', 'Ministry (Venezuela)']"
2480,Peacekeeping Troop (Africa),"Declare truce, ceasefire",Military (France),2014-01-28,"['International Monetary Fund', 'New Zealand', 'Men (United States)', 'Military Personnel - Special (Mexico)', 'Alexander Stubb', 'Police (Belgium)', 'William Ruto', 'Daniel Mitov', 'Rights Activist (China)', 'Military Ruler (Thailand)']"
2481,Ministry (Croatia),Consult,Labor Union (Croatia),2014-03-25,"['Labor Union (Croatia)', 'Police (Australia)', 'Abdullah Gül', 'Warren Truss', 'National Anti-Corruption Commission (Thailand)', 'Military (China)', 'Head of Government (Poland)', 'Head of Government (Ukraine)', 'Head of Government (Egypt)', 'Alexis Tsipras']"
2482,Lawyer/Attorney (South Korea),Demand,Citizen (South Korea),2014-05-17,"['Kyoto University', 'Citizen (South Korea)', 'Business (Poland)', 'Mohammad Javad Zarif', 'Dzhokhar Tsarnaev', 'People Associated with the Opposition (Bahrain)', 'Military (Argentina)', 'Israeli Defense Forces', 'Citizen (Turkey)', 'Ministry (Czech Republic)']"
2483,China,Host a visit,Bratislav Gasic,2014-11-21,"['Legislature (China)', 'National Council for Peace and Order of Thailand', 'Military Personnel (India)', 'Colombia', 'Chishimba Kambwili', 'Other Authorities / Officials (Lebanon)', 'Tamar Beruchashvili', 'Foreign Affairs (Italy)', 'Armenia', 'All India Sikh Students Federation']"
2484,John Kerry,Express intent to meet or negotiate,Citizen (South Korea),2014-02-11,"['National Anti-Corruption Commission (Thailand)', 'Political Parties (Senegal)', 'Arseniy Yatsenyuk', 'Foreign Affairs (Macedonia)', 'National Unity Party (Somalia)', 'Citizen (Nigeria)', 'Shimon Peres', 'Serbia', 'Media Personnel (Australia)', 'John Dramani Mahama']"
2485,North Atlantic Treaty Organization,Consult,Taavi Rõivas,2014-11-20,"['Taavi Rõivas', 'European Central Bank', 'Foreign Affairs (Israel)', 'Development Council (Nigeria)', 'Citizen (Georgia)', 'Oversight Court (Azerbaijan)', 'Citizen (Malaysia)', 'Liyel Imoke', 'Lawyer/Attorney (United States)', 'Justice and Development Party']"
2486,Pakistan Tehreek-e-Insaf,Express intent to meet or negotiate,Government (Pakistan),2014-08-20,"['Military (Mozambique)', 'Michael Sata', 'Ombudsman (Georgia)', 'Legislature (Czech Republic)', 'Vietnam', 'Labor Union (Nigeria)', 'Media (Africa)', 'Opposition Supporter (Pakistan)', 'Lawyer/Attorney (Philippines)', 'Customs Official (Singapore)']"
2487,Sindh High Court,Consult,Pervez Musharraf,2014-03-12,"['Pervez Musharraf', 'Mohammad Javad Zarif', 'Military Personnel (Libya)', 'Uhuru', 'Colombia', 'Foreign Affairs (Mongolia)', 'Hezbollah', 'Member of the Judiciary (Bangladesh)', 'Independent Corrupt Practices Commission', 'Shahin Mustafayev']"
2488,Newspaper (India),Threaten,Citizen (India),2014-05-02,"['Citizen (India)', 'Greenpeace', 'Gjorge Ivanov', 'All India Sikh Students Federation', 'Thailand', 'Myanmar', 'Military (Central African Republic)', 'François Hollande', 'National Coalition for Syrian Revolutionary and Opposition Forces', 'Head of Government (Poland)']"
2489,China,Appeal to others to meet or negotiate,North Korea,2014-12-23,"['Colombia', 'Kyoto University', 'Taavi Rõivas', 'Defense / Security Ministry (Nigeria)', 'Thailand', 'North Korea', 'Citizen (Greece)', 'Augustine Alegeh', 'Newspaper (Japan)', 'Police (Jordan)']"
2490,Manish Sisodia,Accuse,Yogendra Yadav,2014-06-08,"['Military Personnel (Bahrain)', 'Treasury/Finance Ministry (Thailand)', 'Member of Legislative (Govt) (Kenya)', 'Abdelilah Benkirane', 'Information / Communication / Transparency Ministry (Jordan)', 'Angola', 'Portugal', 'Head of Government (Nigeria)', 'Fumio Kishida', 'Yamfwa Mukanga']"
2491,Xi Jinping,Express intent to meet or negotiate,Member of Legislative (Govt) (South Korea),2014-07-03,"['Criminal (Australia)', 'Citizen (Yemen)', 'New Zealand', 'International Court of Justice', 'City Mayor (South Africa)', 'Head of Government (Germany)', 'Senate (Argentina)', '""Citizen (Cote d\\\'Ivoire)""', 'Foreign Affairs (India)', 'Media Personnel (Australia)']"
2492,High Commission for Refugees,Make an appeal or request,Government (Kenya),2014-03-29,"['Government (Kenya)', 'Ma Ying Jeou', 'Mouloud Hamrouche', 'National Anti-Corruption Commission (Thailand)', 'South Korea', 'Radoslaw Sikorski', 'Agence France-Presse', 'France', 'Member of Legislative (Govt) (Liberia)', 'Citizen (Belgium)']"
2493,Natalya Timakova,Make statement,Dmitry Anatolyevich Medvedev,2014-03-11,"['Muhammadu Buhari', 'Government (Africa)', 'Iraq', 'Rodrigo Londono', 'Military Personnel (Paraguay)', 'Business (Uruguay)', 'Eugene Wamalwa', 'People Associated with the Opposition (Russia)', 'Philippines', 'Abdul Aziz']"
2494,Agriculture / Fishing / Forestry Ministry (Pakistan),Make statement,Government (Pakistan),2014-08-16,"['Government (Pakistan)', 'Women (Australia)', 'Didier Burkhalter', 'Democratic Forces for the Liberation of Rwanda', 'Oman', 'Education (United States)', 'Sindh High Court', 'Indigenous People (Greece)', 'Medical Personnel (Jordan)', 'Sergey Kuzhugetovich Shoygu']"
2495,Eastern Mindanao Command,"Arrest, detain, or charge with legal action",Military (Philippines),2014-05-09,"['Interfax', 'Military (Philippines)', 'Greenpeace', 'Royal Thai Police', 'Legislature (Serbia)', 'Legislature (Lebanon)', 'Oommen Chandy', 'Food and Agriculture Organization', 'Web Site (Lithuania)', 'Air Force (Iraq)']"
2496,John Kerry,Express intent to meet or negotiate,South Korea,2014-02-03,"['Military Personnel (Canada)', 'South Korea', 'Amit Shah', '""Citizen (Cote d\\\'Ivoire)""', 'Armed Gang (Afghanistan)', 'Newspaper (Japan)', 'European Central Bank', 'Royal Administration (Jordan)', 'Employee (Malaysia)', 'Party Member (Taiwan)']"
2497,Sharad Pawar,Make an appeal or request,Citizen (India),2014-05-10,"['Citizen (India)', 'Religion (India)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Tajikistan', 'Police (Burundi)', 'Pavlo Klimkin', 'Associated Press', 'Hamas', 'Head of Government (Egypt)', 'Business (Bulgaria)']"
2498,Lawmaker (Japan),Make statement,Japan,2014-10-21,"['Gjorge Ivanov', 'Japan', 'Other Authorities / Officials (Russia)', 'Kyoto University', 'Lawyer/Attorney (Argentina)', 'François Hollande', 'Cabinet / Council of Ministers / Advisors (Angola)', 'Milos Zeman', 'Canada', 'Ministry (Liberia)']"
2499,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-09-10,"['China', 'Joseph Robinette Biden', 'Legislature (Italy)', 'Head of Government (Ukraine)', 'Election Commission (India)', 'Head of Government (China)', 'Treasury/Finance Ministry (Saudi Arabia)', 'Military Personnel (Afghanistan)', 'Ministry (Liberia)', 'Foreign Affairs (United States)']"
2500,Angela Merkel,Make an appeal or request,Ashraf Ghani Ahmadzai,2014-09-23,"['Ashraf Ghani Ahmadzai', 'Canada', 'Foreign Affairs (Venezuela)', 'Police (Israel)', 'Head of Government (Tajikistan)', 'Mexico', 'Progressive Party (Nigeria)', 'Other Authorities / Officials (Romania)', 'European Central Bank', 'Defense / Security Ministry (Yemen)']"
2501,Chief Court Judge (Tanzania),Make statement,Member of the Judiciary (Tanzania),2014-01-30,"['Presidential Press Service (Nigeria)', 'International Government Organizations', 'Citizen (Uganda)', 'People Associated with the Opposition (Mauritania)', 'Antonis Samaras', 'Geo TV', 'Gambia', 'Information / Communication / Transparency Ministry (Liberia)', 'Military (Middle East)', 'Director General (Zambia)']"
2502,Citizen (Georgia),Engage in symbolic act,Eduard Shevardnadze,2014-07-14,"['Chief of Staff (Tunisia)', 'Abdullah Gül', 'Food and Agriculture Organization', 'János Áder', 'Gjorge Ivanov', 'Cabinet / Council of Ministers / Advisors (Australia)', 'Radoslaw Sikorski', 'Other Authorities / Officials (Nigeria)', 'Iran', 'Willem-Alexander']"
2503,Arseniy Yatsenyuk,Consult,Joseph Robinette Biden,2014-03-01,"['Joseph Robinette Biden', 'Kisii', 'Armenia', 'Citizen (Venezuela)', 'Jyrki Katainen', 'Dmitry Anatolyevich Medvedev', 'National Iranian Tanker Company', 'Kyoto University', 'Ministry (Norfolk Island)', 'Police (Ethiopia)']"
2504,Military (Philippines),Use conventional military force,Islamic Rebel (Philippines),2014-02-01,"['Kyoto University', 'Colombia', 'Other Authorities / Officials (Egypt)', 'Women (Israel)', 'Joseph Robinette Biden', 'Afghanistan', 'Lien Chan', 'Didier Burkhalter', 'Lawyer/Attorney (Philippines)', 'National Council for Peace and Order of Thailand']"
2505,Police (Australia),"Arrest, detain, or charge with legal action",Criminal (Australia),2014-07-23,"['Criminal (Australia)', 'Dmitry Anatolyevich Medvedev', 'Employee (Kenya)', 'Military Personnel - Special (Mexico)', 'Head of Government (Qatar)', 'Foreign Affairs (Venezuela)', 'Criminal (Philippines)', 'Business (Iran)', 'North Atlantic Treaty Organization', 'Congo']"
2506,Philippines,Make statement,Alan Peter Cayetano,2014-03-08,"['Hezbollah', 'Businessperson (United Kingdom)', 'Indigenous People (Nigeria)', 'Militant (Libya)', 'Admiral (China)', 'Shigefumi Matsuzawa', 'Martin Stropnický', 'Kisii', 'Paul Kagame', 'Legislature (Argentina)']"
2507,Media (Nigeria),Accuse,Gabriel Torwua Suswam,2014-06-16,"['Interfax', 'Ministry (Venezuela)', 'Business (Canada)', 'Agence France-Presse', 'Grand Ducal Police', 'Nurse (Venezuela)', 'Boko Haram', 'Liberal Democratic Party of Russia', 'Akja Nuberdiyeva', 'Military (Niger)']"
2508,Aladdin Boroujerdi,Make statement,Iran,2014-04-11,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
2509,Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2014-06-05,"['Benjamin Netanyahu', 'National Council for Peace and Order of Thailand', 'Citizen (United Kingdom)', 'Military Personnel (Bahrain)', 'Ashraf Ghani Ahmadzai', 'Citizen (Bangladesh)', 'Intelligence (United States)', 'Lawyer/Attorney (Philippines)', 'Foreign Affairs (Venezuela)', 'People Associated with the Opposition (Ukraine)']"
2510,Foreign Affairs (Ethiopia),Make statement,Ethiopia,2014-11-07,"['Ethiopia', 'Main Opposition (Greece)', 'Ministry (Angola)', 'Employee (India)', 'Member of the Judiciary (South Korea)', 'Military (France)', 'Mevlut Cavusoglu', 'Education (United States)', 'City Mayor (South Africa)', 'International Government Organizations']"
2511,Settler (Israel),Use unconventional violence,Women (Israel),2014-07-18,"['Refugee (Chad)', 'Secretariat (Nigeria)', 'Maldives', 'Energy Department/Ministry (Jordan)', 'Justice Department/Ministery (Sri Lanka)', 'News Editor (Niger)', 'Men (Argentina)', 'Other Authorities / Officials (Guinea)', 'Julie Bishop', 'Member of Parliament (Germany)']"
2512,Member of the Judiciary (Nigeria),Ease administrative sanctions,Citizen (Nigeria),2014-01-28,"['Citizen (Nigeria)', 'National Union Party (Romania)', 'Treasury/Finance Ministry (Bangladesh)', 'Toomas Hendrik Ilves', 'Insurgent (Fula people)', 'Education (United States)', 'Boko Haram', 'Congress of South African Trade Unions', 'Grand National Party', 'Cabinet / Council of Ministers / Advisors (Somalia)']"
2513,North Korea,"Return, release person(s)",Men (United States),2014-10-21,"['Men (United States)', 'International Monetary Fund', 'Agence France-Presse', 'City Mayor (South Africa)', 'Defense / Security Ministry (Russia)', 'Businessperson (Italy)', 'Medical Personnel (Jordan)', 'Defense / Security Ministry (Nigeria)', 'Xi Jinping', 'Milos Zeman']"
2514,International Monetary Fund,Make an appeal or request,China,2014-06-07,"['China', 'Canadian Armed Forces', 'Kevin Rudd', 'Gjorge Ivanov', 'Head of Government (Ukraine)', 'Ireland', 'National Council for Peace and Order of Thailand', 'Ram Gopal Yadav', 'Abhisit Vejjajiva', 'Agence France-Presse']"
2515,France,Make pessimistic comment,European Parliament,2014-11-27,"['European Parliament', 'Dmitry Anatolyevich Medvedev', 'Yemi Osinbajo', 'Police (Belgium)', 'Svoboda', 'Valentinas Mazuronis', 'Militant (Taliban)', 'János Áder', 'Member of the Judiciary (Sierra Leone)', 'Professor (France)']"
2516,Morteza Sarmadi,Consult,Foreign Affairs (Norway),2014-04-08,"['Didier Burkhalter', 'Foreign Affairs (Norway)', 'Alexis Tsipras', 'Media (Swaziland)', 'Sudan', 'Government (Sweden)', 'Afghanistan', 'Tahirul Qadri', 'Dino Melaye', 'Media Personnel (United States)']"
2517,John Odigie-Oyegun,Make statement,Government (Nigeria),2014-10-07,"['Benjamin Netanyahu', 'National Council for Peace and Order of Thailand', 'Citizen (United Kingdom)', 'Military Personnel (Bahrain)', 'Ashraf Ghani Ahmadzai', 'Citizen (Bangladesh)', 'Intelligence (United States)', 'Lawyer/Attorney (Philippines)', 'Foreign Affairs (Venezuela)', 'People Associated with the Opposition (Ukraine)']"
2518,Julie Bishop,Consult,China,2014-11-06,"['China', 'Iraq', 'Mikhail Margelov', 'Military (Lebanon)', 'Armed Rebel (Ukraine)', 'Philippines', 'Laos', 'Government (Syria)', 'Murtala Nyako', 'Ministry (Iran)']"
2519,Member of Legislative (Govt) (Afghanistan),Praise or endorse,Presidential Candidate (Afghanistan),2014-02-04,"['""Citizen (Cote d\\\'Ivoire)""', 'Presidential Candidate (Afghanistan)', '""Uganda People\\\'s Defence Force""', 'Sudan', 'Interfax', 'Qatar', 'Villager (India)', 'Citizen (Bulgaria)', 'Gambia', 'Malaysia']"
2520,Armed Gang (Afghanistan),Use unconventional violence,Foreign Affairs (India),2014-05-23,"['Angola', 'Legislature (South Africa)', 'Oleh Lyashko', 'Nicos Anastasiades', 'High Commission for Refugees', 'Lawyer/Attorney (United States)', 'Tsai Ing-wen', 'Military Personnel (Thailand)', 'Education (United States)', 'Nikos Christodoulides']"
2521,Extremist (Norway),Praise or endorse,Militant (Iraq),2014-08-25,"['Militant (Iraq)', 'Combatant (Islamic State of Iraq and the Levant)', 'Court Judge (Zambia)', 'Shiv Sena', 'Citizen (Kenya)', 'Ministry (Bosnia and Herzegovina)', 'European Central Bank', 'Treasury/Finance Ministry (Bangladesh)', 'Ministry (South Africa)', 'Kuwait']"
2522,Japan Restoration Party,Praise or endorse,Party Member (Japan),2014-01-24,"['Business (Canada)', 'Abhisit Vejjajiva', 'Military (United Kingdom)', 'Media (Kenya)', 'Citizen (Mali)', 'Legislature (Czech Republic)', 'Party Member (Japan)', 'Christian (United States)', 'Legislature (Italy)', 'Ng Eng Hen']"
2523,Legislature (Belarus),Make a visit,Armenia,2014-09-16,"['Armenia', 'Alexander Lukashevich', 'Armed Rebel (Syria)', 'Treasury/Finance Ministry (Bangladesh)', 'Qatar', 'Eugene Wamalwa', 'Simbarashe Mumbengegwi', 'Nasser Judeh', 'Other Authorities / Officials (Egypt)', '""Citizen (Cote d\\\'Ivoire)""']"
2524,National Security Advisor (South Korea),Make an appeal or request,Japan,2014-10-21,"['Japan', 'Armed Rebel (Ukraine)', 'Professor (Fiji)', 'Police (Ethiopia)', 'Citizen (Germany)', 'Israeli Defense Forces', 'Laos', 'Civic Group (India)', 'Milos Zeman', 'Chief of Staff (French Air Force)']"
2525,Sudan,Express intent to cooperate,Vietnam,2014-04-17,"['Vietnam', 'Colombia', 'Government (Pakistan)', 'Military (El Salvador)', 'Foreign Affairs (Italy)', 'Media (Zimbabwe)', 'Lawmaker (Russia)', 'High Commission for Refugees', 'Ministry (Russia)', 'Member of Parliament (Sri Lanka)']"
2526,Maithripala Sirisena,Accuse,Mahinda Rajapaksa,2014-11-21,"['Royal Administration (Spain)', 'Military (Niger)', 'Afghanistan', 'Ministry (Venezuela)', 'Trade Union Congress', 'Employee (Philippines)', 'Kisii', 'Milos Zeman', 'Ministry (Afghanistan)', 'Herve Ladsous']"
2527,Citizen (Nigeria),Accuse,George Akume,2014-01-31,"['Defector (South Korea)', 'Foreign Affairs (Namibia)', 'Head of Government (Poland)', 'Criminal (Guinea)', 'Antonis Samaras', 'Simbarashe Mumbengegwi', 'Government (Africa)', 'Staffan de Mistura', 'Motol University Hospital', 'Member of Legislative (Govt) (Lebanon)']"
2528,Iurie Leanca,Make a visit,Victor Ponta,2014-04-29,"['Agence France-Presse', 'Business (Bulgaria)', 'Lawmaker (Indonesia)', 'Government (South Africa)', 'Member of Parliament (Germany)', 'Secret Agent (Philippines)', 'Michael Andrew Gove', 'City Mayor (South Africa)', 'Shahin Mustafayev', 'Education (United States)']"
2529,Angela Merkel,Engage in symbolic act,Head of Government (Qatar),2014-09-17,"['Head of Government (Qatar)', 'Employee (Philippines)', 'Nikos Christodoulides', 'Independent Corrupt Practices Commission', 'Milos Zeman', 'Citizen (India)', 'Mouloud Hamrouche', 'Ibrahim Boubacar Keïta', 'Hezbollah', 'Park Won-soon']"
2530,Myanmar,Cooperate economically,Cambodia,2014-12-15,"['Milos Zeman', 'Public Prosecutor (Greece)', 'Military Personnel (Afghanistan)', 'Foreign Affairs (Latvia)', 'Asylum Seeker (Chile)', 'Abdelilah Benkirane', 'Member of the Judiciary (Bangladesh)', 'Cambodia', 'Representatives (International)', 'Iraq']"
2531,Sudan,Host a visit,Domestic Affairs (South Sudan),2014-06-22,"['Prabowo Subianto', 'Chief Court Judge (Angola)', 'Opposition Supporter (Pakistan)', 'Serbia', 'Environment Department/Ministry (Ukraine)', 'Tony Tan Keng Yam', 'Military Personnel (Bahrain)', 'Labor Union (India)', 'City Mayor (Croatia)', 'Legislature (Russia)']"
2532,Election Commission (Afghanistan),Make statement,Employee (Afghanistan),2014-06-03,"['Citizen (Germany)', 'Information / Communication / Transparency Ministry (Liberia)', 'Philippines', 'Businessperson (Czech Republic)', 'Fernando Gonzalez', '""Awami (People\\\'s) League""', 'Military Personnel (Nigeria)', 'Imran Khan', 'Citizen (Tanzania)', 'Andrej Kiska']"
2533,Thailand,"Arrest, detain, or charge with legal action",Children (Thailand),2014-09-04,"['African Union', 'Head of Government (Bulgaria)', 'Court Judge (Nigeria)', 'Police (Egypt)', 'Lulzim Basha', 'Military (Turkey)', 'Yemi Osinbajo', 'Militant (Boko Haram)', 'Vitali Klitschko', 'Police (Israel)']"
2534,Josh Earnest,Make statement,Iran,2014-11-12,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
2535,Benjamin Netanyahu,Make statement,Israeli Defense Forces,2014-03-20,"['International Court of Justice', 'Anandiben Patel', 'Imran Khan', 'Arab Israelis', 'Israeli Defense Forces', 'Ma Ying Jeou', 'Civic Coalition', 'Citizen (Tonga)', 'Dinka', 'Aladdin Boroujerdi']"
2536,Militant (Yemen),Impose administrative sanctions,Employee (Yemen),2014-12-18,"['Emperor Akihito', 'Citizen (Botswana)', 'Alexis Tsipras', 'Taavi Rõivas', 'Lawyer/Attorney (Argentina)', 'Bala Garba-Jahumpa', 'Student (Iraq)', 'Lawyer/Attorney (Jordan)', 'Energy Department/Ministry (Jordan)', 'Women (Mexico)']"
2537,Hamas,Use as human shield,"Children (Palestinian Territory, Occupied)",2014-07-31,"['Media (Zimbabwe)', 'Armed Gang (Afghanistan)', 'Member of Parliament (South Africa)', 'Member of Legislative (Govt) (Kenya)', 'Royal Administration (Jordan)', 'Agence France-Presse', 'Citizen (Turkey)', 'Member of Parliament (Germany)', 'Government Official (Egypt)', 'Angola']"
2538,Pope Francis,Express intent to meet or negotiate,Philippines,2014-12-05,"['Julie Bishop', 'Democratic Party (Nigeria)', 'Foreign Affairs (Ukraine)', 'Police (Tanzania)', 'Ministry (Liberia)', 'Nurse (Venezuela)', 'Svoboda', 'Gideon Gono', 'Citizen (Brazil)', 'Citizen (Sudan)']"
2539,Iraq,Appeal for change in leadership,Nuri al-Maliki,2014-02-26,"['Nuri al-Maliki', 'Citizen (Brazil)', 'Sudan', 'Businessperson (United Kingdom)', 'Military Personnel (Afghanistan)', 'Ivan Gasparovic', 'City Mayor (Ukraine)', 'Settler (Israel)', 'Jeff Seeney', 'Shiv Sena']"
2540,European Parliament,Criticize or denounce,Vojislav Šešelj,2014-11-27,"['Court Judge (Nigeria)', 'Ministry (Thailand)', 'Martin Stropnický', 'Member of the Judiciary (United Arab Emirates)', 'Congress (United States)', 'Agence France-Presse', 'Andrew Robb', 'Police (South Africa)', 'Xi Jinping', 'Business (Poland)']"
2541,Student (Hong Kong),Engage in negotiation,Carrie Lam,2014-10-07,"['Carrie Lam', 'Foreign Affairs (Venezuela)', 'Interfax', 'Pope Francis', 'Legislature (South Africa)', 'Ireland', 'Police (Hong Kong)', 'United Arab Emirates', 'Children (Zimbabwe)', 'Ministry (Liberia)']"
2542,Representatives (United States),Consult,Paul Kagame,2014-01-26,"['Paul Kagame', 'Medical Personnel (Jordan)', 'Ruling Parties (Nepal)', 'Police (Jordan)', 'New Zealand', 'Isaias Afewerki', 'Information / Communication / Transparency Ministry (Liberia)', 'Canada', 'Ng Eng Hen', 'Head of Government (Egypt)']"
2543,China,Host a visit,Abdul Aziz,2014-03-13,"['Foreign Affairs (Czech Republic)', 'Business (Canada)', 'Morgan Tsvangirai', 'Military (Lebanon)', 'Josh Earnest', 'European Central Bank', 'Foreign Affairs (Macedonia)', 'South Africa', 'Rights Activist (Belarus)', 'Military Academy (North Korea)']"
2544,Military Personnel (Philippines),Make statement,Police (Philippines),2014-06-09,"['Police (Philippines)', 'Djibouti', 'Other Authorities / Officials (Romania)', 'Afghanistan', 'People Associated with the Opposition (Argentina)', 'Ma Ying Jeou', 'Abdullah Gül', 'Ministry (Russia)', 'Mark Simmonds', 'Colombia']"
2545,Head of Government (Ukraine),Express intent to cooperate,North Atlantic Treaty Organization,2014-09-04,"['Alexander Lukashevich', 'Arseniy Yatsenyuk', 'Police (Libya)', 'Morgan Tsvangirai', 'Poland', 'Edgars Rinkevics', 'Ma Ying Jeou', 'UN Security Council', 'Legislature (Lebanon)', 'Massoud Barzani']"
2546,Canada,Impose administrative sanctions,Business (Russia),2014-08-06,"['Environment Department/Ministry (Ukraine)', 'Military (Mali)', 'Other Authorities / Officials (Guinea)', 'Democratic Forces for the Liberation of Rwanda', 'Human Rights Watch', 'Akja Nuberdiyeva', 'Head of Government (Qatar)', 'Ma Ying Jeou', 'Ryoo Kihl-jae', 'Arseniy Yatsenyuk']"
2547,Cabinet / Council of Ministers / Advisors (United States),Make statement,UN Security Council,2014-02-02,"['UN Security Council', 'People Associated with the Opposition (Bahrain)', 'Member of Parliament (India)', 'Laos', 'Citizen (Brazil)', 'Citizen (Greece)', 'Businessperson (Mauritania)', 'Combatant (Iraqi Kurds)', 'Interfax', 'Malawi']"
