,e1,relation,e2,date,predictions
87,Military Personnel - Special (Afghanistan),Use conventional military force,Militant (Taliban),2014-05-23,"['Military (Russia)', 'Combatant (Iraqi Kurds)', 'Military Personnel - Special (Afghanistan)', 'Dimitrios Avramopoulos', 'Barack Obama', 'Philippines', 'Afghanistan', 'Government (Pakistan)', 'Military (United Kingdom)', 'Afghan National Army']"
88,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2014-10-09,"['Police (Philippines)', 'Citizen (Turkey)', 'China', 'Philippines', 'Other Authorities / Officials (China)', 'Other Authorities / Officials (Philippines)', 'Lawyer/Attorney (Philippines)', 'Military Advisor (Philippines)', 'Viktor Orban', 'Citizen (South Korea)']"
89,Japan,Consult,South Korea,2014-03-20,"['South Korea', 'Japan', 'North Korea', 'Iran', 'China', 'Xi Jinping', 'Kim Jong-Un', 'Canada', 'Foreign Affairs (United States)', 'Cho Tai-young']"
90,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-09-01,"['Citizen (Nigeria)', 'Fumio Kishida', 'Government (Nigeria)', 'Afghanistan', 'Lulzim Basha', 'Nigerian Navy', 'Government (Sweden)', 'Citizen (Turkey)', 'Carrie Lam', 'Head of Government (Pakistan)']"
91,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-12-22,"['Citizen (Nigeria)', 'Labor Party (New Zealand)', 'Secretariat (Nigeria)', 'Government (Nigeria)', 'Majid Takht Ravanchi', 'Military (China)', 'The Hague', 'Guy Ryder', 'Chief of Staff (Tunisia)', 'Media (Africa)']"
92,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-11-26,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
93,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2014-08-16,"['Somsavat Lengsava', 'Police (Indonesia)', 'Other Authorities / Officials (Romania)', 'Afghanistan', 'Foreign Affairs (Czech Republic)', 'Malaysia', 'Police (Brunei)', 'Sharia Court (Indonesia)', 'Ministry (Norfolk Island)', 'Royal Administration (Spain)']"
94,Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-01-13,"['Foreign Affairs (United States)', 'Protester (Ukraine)', 'Detainee (Lebanon)', 'Democratic Forces for the Liberation of Rwanda', 'Citizen (Turkey)', 'Djoomart Otorbaev', 'Legislature (Argentina)', 'Party Member (Taiwan)', 'Michael Sata', 'Tajikistan']"
95,China,Make optimistic comment,Japan,2014-01-24,"['Kuwait', 'China', 'Presidential Press Service (Nigeria)', 'Khalid bin Ali Al Khalifa', 'Barack Obama', 'Combatant (Syrian Kurds)', 'Canada', 'Food and Agriculture Organization', 'Tarun Gogoi', 'Japan']"
96,South Korea,Accuse,North Korea,2014-05-16,"['Businessperson (Italy)', 'Ministry (South Korea)', 'South Korea', 'Armenia', 'Civic Group (India)', 'Royal Thai Police', 'Military (Argentina)', 'Japan', 'Joseph Sinde Warioba', 'High Ranking Military Personnel (United Kingdom)']"
97,Criminal (Australia),Use unconventional violence,Police (Australia),2014-09-26,"['Election Commission (India)', 'Police (Australia)', 'Criminal (Australia)', 'Men (United Kingdom)', 'Food and Agriculture Organization', 'Student (Venezuela)', 'Party Member (Jordan)', 'Defense / Security Ministry (Nigeria)', 'Toomas Hendrik Ilves', 'Sadayuki Sakakibara']"
98,Police (Japan),Investigate,Men (Japan),2014-09-25,"['People Associated with the Opposition (Bahrain)', 'Indigenous People (Greece)', 'Police (Japan)', 'Education (Costa Rica)', '""Police (Cote d\\\'Ivoire)""', 'Activist (Syria)', 'Agence France-Presse', 'Afghanistan', 'Lawmaker (Indonesia)', 'Vincent C. Siew']"
99,John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-03-14,"['Sergey Viktorovich Lavrov', 'John Kerry', 'Congo', 'Iraq', 'Media (India)', 'Military Personnel (Paraguay)', 'Citizen (Brazil)', 'Government (Sweden)', 'Kisii', 'Gurbanguly Berdymukhammedov']"
100,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-05-01,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
101,Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-11-23,"['Sergey Viktorovich Lavrov', 'Cabinet / Council of Ministers / Advisors (United States)', 'Indigenous People (Syria)', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
102,Citizen (Yemen),Use unconventional violence,Combatant (Houthis),2014-11-11,"['Governor (Democratic Republic of Congo)', 'Citizen (Yemen)', 'Ministry (Sri Lanka)', 'Hynek Kmoníček', 'Ministry of Shipping (India)', 'Citizen (Tanzania)', 'Rauf Aregbesola', 'Al Jazeera', 'Congress (United States)', 'Mouloud Hamrouche']"
103,Business (Bahrain),Consult,Student (Bahrain),2014-02-17,"['Defense / Security Ministry (Ukraine)', 'Customs Official (Singapore)', 'Business (Bahrain)', 'Mahinda Rajapaksa', 'Military (Argentina)', 'Government (Argentina)', 'Kisii', 'Toomas Hendrik Ilves', 'Botswana', 'Aam Aadmi Party']"
104,Nicos Anastasiades,Consult,Party President (Cyprus),2014-02-07,"['Nicos Anastasiades', 'Police (Philippines)', 'Geo TV', 'Nikos Christodoulides', 'Independent Corrupt Practices Commission', 'Stavros Lambrinidis', 'Armed Rebel (Lebanon)', 'Court Judge (Iraq)', 'Government Official (Egypt)', 'Congress of South African Trade Unions']"
105,Abdel Fattah Al-Sisi,Consult,Middle East,2014-06-09,"['Middle East', 'Abdel Fattah Al-Sisi', 'Khalid bin Ali Al Khalifa', 'Government (Sudan)', 'Eugene Wamalwa', 'Treasury/Finance Ministry (Bangladesh)', 'Milos Zeman', 'Viktor Orban', 'Kimani Wamatangi', 'Gen Prayut Chan-o-cha']"
106,South Korea,Engage in diplomatic cooperation,China,2014-01-08,"['China', 'South Korea', 'Ireland', 'Armed Rebel (Ukraine)', 'Nathan Cirillo', 'Gjorge Ivanov', 'Prem Tinsulanonda', 'Hamas', 'Indigenous People (Nigeria)', 'Nabih Berri']"
107,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-09-17,"['Police (Australia)', 'Citizen (Australia)', 'China', 'Police (Philippines)', 'Malaysia', 'Military (Lebanon)', 'New Zealand', 'Thailand', 'South Africa', 'Philippines']"
108,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-08-27,"['Citizen (Nigeria)', 'Labor Party (New Zealand)', 'Secretariat (Nigeria)', 'Government (Nigeria)', 'Majid Takht Ravanchi', 'Military (China)', 'The Hague', 'Guy Ryder', 'Chief of Staff (Tunisia)', 'Media (Africa)']"
109,Military Personnel - Special (Afghanistan),Use conventional military force,Attacker (Afghanistan),2014-03-21,"['Protester (Paraguay)', 'Military Personnel - Special (Afghanistan)', 'Abdelilah Benkirane', 'Takeshi Onaga', 'Alexander Lukashevich', 'Pakistan Tehreek-e-Insaf', 'Treasury/Finance Ministry (Bangladesh)', 'Afghanistan', 'North Atlantic Treaty Organization', 'Government (Venezuela)']"
110,Japan,Meet at a 'third' location,South Korea,2014-11-16,"['Men (Argentina)', 'Romania', 'Japan', 'Intelligence (United States)', 'Criminal (Tanzania)', 'North Korea', 'South Korea', 'Children (Zimbabwe)', 'Sudan', 'Afghanistan']"
111,Police (Australia),Confiscate property,Citizen (Australia),2014-07-30,"['Police (Australia)', 'Inter-Services Intelligence', 'Businessperson (Czech Republic)', 'Citizen (Australia)', 'Cambodia', 'Governor (Kenya)', 'Men (United States)', 'Vojislav Šešelj', 'Israeli Defense Forces', 'Bhutan']"
112,France,"Arrest, detain, or charge with legal action",Men (France),2014-02-04,"['France', 'Armed Gang (Afghanistan)', 'Abdel Fattah Al-Sisi', 'Military (France)', 'Police (United States)', 'Main Opposition (Turkey)', 'Agence France-Presse', 'Justin Trudeau', 'Head of Government (India)', 'Indigenous People (Greece)']"
113,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-07-03,"['Police (Egypt)', 'Military Personnel - Special (Mexico)', 'Military (Central African Republic)', 'Royal Administration (Spain)', 'Kyoto University', 'The Hague', 'Evangelos Venizelos', 'Ministry (Egypt)', 'Government Official (United Kingdom)', 'National Intelligence Bureau (China)']"
114,Police (Australia),Investigate,Citizen (Australia),2014-11-23,"['Police (Australia)', 'Member of Parliament (Australia)', 'Women (Australia)', 'Citizen (Australia)', 'Police (Indonesia)', 'Lawyer/Attorney (Australia)', 'Police (United States)', 'Fire Brigade (Australia)', 'People Associated with the Opposition (Australia)', 'Businessperson (Australia)']"
115,Catherine Ashton,Consult,Mohammad Javad Zarif,2014-11-29,"['Mohammad Javad Zarif', 'National Council for Peace and Order of Thailand', 'Catherine Ashton', 'Head of Government (India)', 'Morgan Tsvangirai', 'Armenia', 'Armed Gang (Thailand)', 'Cristina Fernández de Kirchner', 'Military (Central African Republic)', 'Sudan']"
116,Catherine Ashton,Consult,Mohammad Javad Zarif,2014-07-12,"['Mohammad Javad Zarif', 'National Council for Peace and Order of Thailand', 'Catherine Ashton', 'Head of Government (India)', 'Morgan Tsvangirai', 'Armenia', 'Armed Gang (Thailand)', 'Cristina Fernández de Kirchner', 'Military (Central African Republic)', 'Sudan']"
117,Barack Obama,Make a visit,Japan,2014-02-19,"['Japan', 'Barack Obama', 'Fumio Kishida', 'Mohamed Ould Abdel Aziz', 'Police (Burundi)', 'Citizen (India)', 'Governor (India)', 'Main Opposition (Turkey)', 'South Korea', 'Iran']"
118,Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-05-19,"['Chuck Hagel', 'Citizen (Nigeria)', 'Treasury/Finance Ministry (Bangladesh)', 'Business (Russia)', 'Member of the Judiciary (Nigeria)', 'Public Prosecutor (Greece)', 'Other Authorities / Officials (Turkey)', 'Mouloud Hamrouche', 'Presidential Press Service (Nigeria)', 'Viktor Orban']"
119,South Korea,"Impose embargo, boycott, or sanctions",North Korea,2014-04-13,"['Ministry (Liberia)', 'North Korea', 'South Korea', 'Court Judge (India)', 'Abhisit Vejjajiva', 'Iraq', 'Military (North Korea)', 'Armed Forces of the Republic of Armenia', 'Energy Department/Ministry (Iran)', 'City Mayor (South Africa)']"
120,Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-06-18,"['North Korea', 'Greenpeace', 'Japan', 'Thailand', 'Education Ministry (United Arab Emirates)', 'Bhutan', 'Arab Israelis', 'Special Rapporteurs of the United Nations', 'Government Official (Japan)', 'Government (Pakistan)']"
121,Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014-03-07,"['Colombia', 'Bahrain', 'Mohammad Javad Zarif', 'Ministry (Afghanistan)', 'Government (United States)', 'Head of Government (Poland)', 'Greenpeace', 'Manuel Nunes Júnior', 'Indigenous People (Greece)', 'Yu Zhengsheng']"
122,Japan,Consult,North Korea,2014-03-04,"['North Korea', 'Japan', 'Tarun Gogoi', 'South Korea', 'China', 'Kim Jong-Un', 'Liu Zhenmin', 'Stavros Lambrinidis', 'Ryoo Kihl-jae', 'Inter-Services Intelligence']"
123,Police (Hong Kong),Use tactics of violent repression,Protester (Hong Kong),2014-12-26,"['Police (Hong Kong)', 'Prabowo Subianto', 'Other Authorities / Officials (Hong Kong)', 'Military (Hong Kong)', 'Police (Australia)', 'Population (Angola)', 'Alexander Lukashevich', 'Government (Syria)', 'Associated Press', 'Other Authorities / Officials (Egypt)']"
124,Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-06-03,"['Interfax', 'Citizen (Nigeria)', 'Government (Nigeria)', 'Citizen (Yemen)', 'Mary Robinson', 'European Central Bank', 'Peacekeeping Troop (Central African Republic)', 'Election Commission (Afghanistan)', 'Court Judge (Nigeria)', 'Liyel Imoke']"
125,Xi Jinping,Make statement,China,2014-07-11,"['China', 'Citizen (Unidentified State Actor)', 'Xi Jinping', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler']"
126,Citizen (Australia),Physically assault,Police (Australia),2014-03-18,"['Police (Australia)', 'Citizen (Australia)', 'Lawmaker (Indonesia)', 'Svoboda', 'Government (Sweden)', 'Children (Philippines)', 'Naval (United Kingdom)', 'Abdullah Gül', 'Women (Australia)', 'Julie Bishop']"
127,Police (Swaziland),fight with small arms and light weapons,Men (Swaziland),2014-02-12,"['Police (Swaziland)', 'National Security and Intelligence Services', 'North Atlantic Treaty Organization', 'Mikhail Margelov', 'Police (United States)', 'Refugee (Chad)', 'Murtala Nyako', 'Al Jazeera', 'Catherine Ashton', 'Representatives (Slovakia)']"
128,Mohammad Javad Zarif,Meet at a 'third' location,Catherine Ashton,2014-06-17,"['Mohammad Javad Zarif', 'Philip Hammond', 'Military Personnel (Paraguay)', 'Catherine Ashton', 'Other Authorities / Officials (Turkey)', 'Raheel Sharif', 'Pavlo Klimkin', 'Djibouti', 'Antonis Samaras', 'Alexander Lukashevich']"
129,Government (United States),Make statement,Iran,2014-03-15,"['Iran', 'Head of Government (South Korea)', 'Government (United States)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai']"
130,Xi Jinping,Make statement,China,2014-03-24,"['China', 'Citizen (Unidentified State Actor)', 'Xi Jinping', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler']"
131,Naval (Sri Lanka),"Arrest, detain, or charge with legal action",Fishermen (India),2014-01-31,"['Police (Benin)', 'Naval (Sri Lanka)', '""Awami (People\\\'s) League""', 'Men (United Kingdom)', 'Hezbollah', 'Businessperson (United Kingdom)', 'Border Security Force', 'Reserve Personnel (Iran)', 'Naval (Bangladesh)', 'Colombia']"
132,Al-Shabaab,Make statement,Combatant (Kenya),2014-06-18,"['Legislature (Italy)', 'Al-Shabaab', 'Democratic Party (Nigeria)', 'Ryoo Kihl-jae', 'Military Personnel (Thailand)', 'Conservative Party (United Kingdom)', 'Arab Israelis', 'Criminal (Brazil)', 'Priest (Holy See (Vatican City State))', 'Nasser Judeh']"
133,Mauritania,Coerce,Citizen (Mauritania),2014-05-13,"['Toomas Hendrik Ilves', 'Police (Burundi)', 'Mauritania', 'Citizen (Germany)', 'Independent High Electoral Commission', 'Police (Belgium)', 'Gambia', 'Mohamed Ould Abdel Aziz', 'Kyoto University', 'Businessperson (Italy)']"
134,North Korea,Make a visit,South Korea,2014-09-17,"['South Korea', 'North Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'China', 'Xi Jinping', 'Cabinet / Council of Ministers / Advisors (United States)']"
135,China,Sign formal agreement,Malaysia,2014-05-24,"['Malaysia', 'China', 'South Korea', 'Other Authorities / Officials (Mexico)', 'Amnesty International', 'Police (Sudan)', 'Iraq', 'Food and Agriculture Organization', 'Abdullah Gül', 'Kapil Sibal']"
136,Iran,Engage in negotiation,Bertie Ahern,2014-02-04,"['Iran', 'Bertie Ahern', 'Kashim Shettima', 'People Associated with the Opposition (Turkey)', 'Defense / Security Ministry (United States)', 'Iraq', 'Human Rights Watch', 'Mary Robinson', 'International Government Organizations', 'Military Personnel (Canada)']"
137,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-06-02,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
138,Police (Namibia),"Arrest, detain, or charge with legal action",Men (Namibia),2014-12-17,"['Thief (Turkey)', 'Police (Namibia)', 'Lawmaker (Russia)', 'Labor Party (United Kingdom)', 'Lawyer/Attorney (Kenya)', 'National Anti-Corruption Commission (Thailand)', 'Oommen Chandy', 'Foreign Affairs (Italy)', 'Ministry (Venezuela)', '""Republican People\\\'s Party""']"
139,Xi Jinping,Make statement,China,2014-04-26,"['China', 'Citizen (Unidentified State Actor)', 'Xi Jinping', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler']"
140,China,Express intent to cooperate,Japan,2014-11-12,"['Japan', 'China', 'Malaysia', 'Armed Rebel (Ukraine)', 'Governor (Democratic Republic of Congo)', 'Party Member (Afghanistan)', 'Election Commission (India)', 'Indigenous People (Malawi)', 'Congo', 'Head of Government (Brazil)']"
141,Government (Nigeria),"Return, release person(s)",Citizen (Nigeria),2014-05-18,"['Citizen (Nigeria)', 'Inter-Services Intelligence', 'Government (Nigeria)', 'Defense / Security Ministry (Nigeria)', 'Head of Government (Nigeria)', 'Majid Takht Ravanchi', 'Abdul Aziz', 'Arseniy Yatsenyuk', 'Ombudsman (Georgia)', 'Moro Islamic Liberation Front']"
142,Military Personnel - Special (Afghanistan),Use conventional military force,Militant (Taliban),2014-10-13,"['Military (Russia)', 'Combatant (Iraqi Kurds)', 'Military Personnel - Special (Afghanistan)', 'Dimitrios Avramopoulos', 'Barack Obama', 'Philippines', 'Afghanistan', 'Government (Pakistan)', 'Military (United Kingdom)', 'Afghan National Army']"
143,Japan,Consult,South Korea,2014-11-13,"['South Korea', 'Japan', 'North Korea', 'Iran', 'China', 'Xi Jinping', 'Kim Jong-Un', 'Canada', 'Foreign Affairs (United States)', 'Cho Tai-young']"
144,Other Authorities / Officials (Nigeria),Make statement,Education (Nigeria),2014-11-28,"['Other Authorities / Officials (Nigeria)', 'Citizen (Mali)', 'Massoud Barzani', 'Business (Russia)', 'High Ranking Military Personnel (United Kingdom)', 'Ministry (Liberia)', 'Children (Zimbabwe)', 'France', 'Women (Ukraine)', 'Tourist (South Korea)']"
145,Xi Jinping,Make statement,China,2014-12-04,"['China', 'Citizen (Unidentified State Actor)', 'Xi Jinping', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler']"
146,Tom Frieden,Make statement,Congress for Democratic Change,2014-10-07,"['National Anti-Corruption Commission (Thailand)', 'Tom Frieden', 'Tony Blair', 'Citizen (Venezuela)', '""Pakistan People\\\'s Party""', 'Nuri al-Maliki', 'Party Member (Afghanistan)', 'Emmanuel Eweta Uduaghan', 'Democratic Party (Nigeria)', 'Extremist (Syria)']"
147,Other Authorities / Officials (Brazil),"Arrest, detain, or charge with legal action",Drug Gang (Colombia),2014-10-23,"['Other Authorities / Officials (Brazil)', 'High Ranking Military Personnel (Pakistan)', 'Media Personnel (Australia)', 'Peacekeeping Troop (Central African Republic)', 'Foreign Affairs (Czech Republic)', 'Lawyer/Attorney (Romania)', 'Foreign Affairs (United States)', 'Pope Francis', 'Ministry (Czech Republic)', 'Treasury/Finance Ministry (Thailand)']"
148,Barack Obama,Consult,Benjamin Netanyahu,2014-07-18,"['Benjamin Netanyahu', 'Takeshi Onaga', 'Barack Obama', 'Government (Argentina)', 'Other Authorities / Officials (Lebanon)', 'Military Personnel (Afghanistan)', 'Tamar Beruchashvili', 'Head of Government (China)', 'Foreign Affairs (Ukraine)', 'Ministry of Mining (Zimbabwe)']"
149,Ashraf Ghani Ahmadzai,Accuse,Abdullah Abdullah,2014-09-27,"['Ashraf Ghani Ahmadzai', 'Abdul Aziz', 'Uhuru Muigai Kenyatta', 'Professor (France)', 'Afghanistan', 'International Monetary Fund', 'Member of Legislative (Govt) (Nigeria)', 'Military (Turkey)', 'Media Personnel (International)', 'Citizen (Georgia)']"
150,Vietnam,Express intent to settle dispute,China,2014-02-25,"['Vietnam', 'South Korea', 'Xi Jinping', 'Afghanistan', 'Sergey Viktorovich Lavrov', 'Japan', 'France', 'Pope Francis', 'Myanmar', 'Malaysia']"
151,Head of Government (Sierra Leone),Express intent to engage in diplomatic cooperation (such as policy support),Police (Sierra Leone),2014-07-31,"['Head of Government (Sierra Leone)', 'Foreign Affairs (Hungary)', 'Militia (Syrian Kurds)', 'Dmitry Anatolyevich Medvedev', 'Oman', 'Angela Merkel', 'Head of Government (Guatemala)', 'The Hague', 'Government (Syria)', 'Ministry (Venezuela)']"
152,Head of Government (Bahrain),Make statement,Party Member (Bahrain),2014-01-10,"['Aladdin Boroujerdi', 'Court Judge (Peru)', 'Head of Government (Bahrain)', 'Algirdas Butkevičius', 'Togo', 'Cristina Fernández de Kirchner', 'Military Advisor (United States)', 'Foreign Affairs (Venezuela)', 'Ibrahim Hassan Dankwambo', 'North Atlantic Treaty Organization']"
153,Police (Philippines),Use conventional military force,Men (Philippines),2014-04-25,"['Police (Philippines)', 'Mohamed Ould Abdel Aziz', 'Chuck Hagel', 'Other Authorities / Officials (Guinea)', 'Government (Sudan)', 'Government Official (Afghanistan)', 'Serbia', 'Military Personnel - Special (Philippines)', 'Head of Government (India)', 'Citizen (Brunei)']"
154,Citizen (Nigeria),Engage in diplomatic cooperation,Government (Nigeria),2014-10-31,"['Citizen (Nigeria)', 'Victor Ponta', 'Secretariat (Nigeria)', 'Indigenous People (Nigeria)', 'Bala Ngilari', 'Opposition Supporter (Nigeria)', 'Ashraf Ghani Ahmadzai', 'Raheel Sharif', 'Legislature (Argentina)', 'Morgan Tsvangirai']"
155,Mohammad Javad Zarif,Criticize or denounce,Iran,2014-02-21,"['Iran', 'Mohammad Javad Zarif', 'Hassan Joho', 'Paul Kagame', 'Myanmar', 'Business (Bulgaria)', 'Macky Sall', 'Organisation of Islamic Cooperation', 'European Central Bank', 'Media (Africa)']"
156,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2014-01-05,"['Police (Australia)', 'Ishaq Dar', 'South Korea', 'China', 'Cabinet / Council of Ministers / Advisors (United States)', 'Japan', 'Julie Bishop', 'Lawyer/Attorney (Australia)', 'Campbell Newman', 'Criminal (Australia)']"
157,Japan,Make a visit,China,2014-09-24,"['China', 'Japan', 'South Korea', 'North Korea', 'Iran', 'Xi Jinping', 'Le Hong Anh', 'Angela Merkel', 'Afghanistan', 'Ashraf Ghani Ahmadzai']"
158,Philippines,Investigate,Government Affiliated Bank (Philippines),2014-01-28,"['Philippines', 'Mexico', 'Other Authorities / Officials (Russia)', 'Juan Carlos I', 'Citizen (Yemen)', 'People Associated with the Opposition (Russia)', 'Medical Personnel (Jordan)', 'Naglis Puteikis', 'Democratic Forces for the Liberation of Rwanda', 'Givi Targamadze']"
159,Pervez Musharraf,Consult,Special Court (Pakistan),2014-02-11,"['Pervez Musharraf', 'Defense / Security Ministry (Nigeria)', 'Special Court (Pakistan)', 'Svoboda', 'Sadayuki Sakakibara', 'Angola', 'Shahin Mustafayev', 'Congress of South African Trade Unions', 'Legislature (Argentina)', 'Ishaq Dar']"
160,Military (Lebanon),Cooperate militarily,Resistance Group (Hezbollah),2014-10-20,"['Military (Lebanon)', 'Governor (Chile)', '""Citizen (Cote d\\\'Ivoire)""', 'Muhammadu Buhari', 'Serbia', 'Mikhail Margelov', 'Macky Sall', 'Children (Philippines)', 'Foreign Affairs (Latvia)', 'Environment Department/Ministry (Jordan)']"
161,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-08-04,"['Thailand', 'Combatant (Islamic State of Iraq and the Levant)', 'Citizen (Thailand)', 'Gideon Gono', 'Ireland', 'Prayuth Chan-ocha', 'Military (Thailand)', 'Cabinet / Council of Ministers / Advisors (Thailand)', 'Laos', 'Royal Thai Police']"
162,Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-10-20,"['Chuck Hagel', 'Citizen (Nigeria)', 'Treasury/Finance Ministry (Bangladesh)', 'Business (Russia)', 'Member of the Judiciary (Nigeria)', 'Public Prosecutor (Greece)', 'Other Authorities / Officials (Turkey)', 'Mouloud Hamrouche', 'Presidential Press Service (Nigeria)', 'Viktor Orban']"
163,Police (Belgium),"Arrest, detain, or charge with legal action",Criminal (Belgium),2014-05-24,"['Emrullah Isler', 'Police (Belgium)', 'Military (Turkey)', 'New Zealand', 'Business (Bulgaria)', 'Government (Argentina)', 'Citizen (Kyrgyzstan)', 'Military Personnel (Paraguay)', 'Secret Agent (Philippines)', 'Legislature (Libya)']"
164,Police (New Zealand),Discuss by telephone,Maurice Williamson,2014-05-02,"['Police (New Zealand)', 'Massoud Barzani', 'Head of Government (China)', 'Asylum Seeker (Chile)', 'Chief of Staff (Iraq)', 'Ibrahim Hassan Saif', 'Mary Robinson', 'Foreign Affairs (Ethiopia)', 'Maurice Williamson', 'Lawmaker (Ukraine)']"
165,Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-09-29,"['Abdullah Abdullah', 'Ministry (Liberia)', 'Ashraf Ghani Ahmadzai', 'Government (Nigeria)', 'Citizen (Kenya)', 'Liyel Imoke', 'China', 'North Atlantic Treaty Organization', 'John Kerry', 'Defense / Security Ministry (United States)']"
166,Xi Jinping,Sign formal agreement,Barack Obama,2014-12-09,"['Barack Obama', 'Xi Jinping', 'Party of Regions', 'Ireland', 'François Hollande', 'Abdul Aziz', 'Head of Government (Greece)', 'Head of Government (Mexico)', 'Mauritania', 'Massoud Barzani']"
167,China,Make statement,Peter Humphrey,2014-08-08,"['Government Official (Japan)', 'China', 'Lawyer/Attorney (Philippines)', 'Shiv Sena', 'Armed Band (India)', 'Citizen (Sudan)', 'Military (Central African Republic)', 'Uhuru', 'Media Personnel (Pakistan)', 'Abdullah Gül']"
168,Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-05-31,"['John Kerry', 'Sergey Viktorovich Lavrov', 'Inter-Services Intelligence', 'Special Rapporteurs of the United Nations', 'Catherine Ashton', 'Head of Government (Ukraine)', 'Ashraf Ghani Ahmadzai', 'Fumio Kishida', 'Massoud Barzani', 'Middle East']"
169,John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-03-08,"['Sergey Viktorovich Lavrov', 'John Kerry', 'Congo', 'Iraq', 'Media (India)', 'Military Personnel (Paraguay)', 'Citizen (Brazil)', 'Government (Sweden)', 'Kisii', 'Gurbanguly Berdymukhammedov']"
170,Ireland,Engage in symbolic act,Albert Reynolds,2014-08-25,"['Ireland', 'Member of Legislative (Govt) (Iran)', 'Julien Paluku Kahongya', 'Bahrain', 'Ivan Gasparovic', 'Armed Gang (Egypt)', 'Farm Worker (Nigeria)', 'Military (Argentina)', 'Opposition Supporter (India)', 'Boko Haram']"
171,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-09-30,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
172,North Korea,Express intent to meet or negotiate,South Korea,2014-02-03,"['North Korea', 'Military Personnel (Canada)', 'Iran', 'China', 'Xi Jinping', 'Head of Government (Qatar)', 'Citizen (South Korea)', 'Fumio Kishida', 'Cabinet / Council of Ministers / Advisors (United States)', 'John Kerry']"
