,e1,relation,e2,date,predictions
2423,Police (Philippines),Accuse,Criminal (Philippines),2014-10-31,"['Shahin Mustafayev', 'Bank (Albania)', 'Military Personnel - Special (Kenya)', 'Defense / Security Ministry (Ukraine)', 'Military Personnel (Thailand)', 'Enrico Letta', 'Robert Menendez', 'Student (Mexico)', 'Citizen (Bangladesh)', '""Citizen (Cote d\'Ivoire)""']"
2424,Police (Ukraine),Make an appeal or request,Women (Ukraine),2014-02-19,"['Chris Murphy', 'Independent Corrupt Practices Commission', 'Djibouti', 'Hassan Joho', 'Information Ministry (India)', 'Eugene Wamalwa', 'Foreign Affairs (United States)', 'Vitali Klitschko', 'Ishaq Dar', 'Foreign Affairs (India)']"
2425,Media Personnel (Poland),Make statement,Head of Government (Poland),2014-05-28,"['The Standard', '""Uganda People\'s Defence Force""', 'Antonis Samaras', 'Greenpeace', 'Amit Shah', 'Business (Russia)', 'National Anti-Corruption Commission (Thailand)', '""Awami (People\'s) League""', 'Military Personnel - Special (Algeria)', 'Citizen (Greece)']"
2426,Iran,Host a visit,Foreign Affairs (Luxembourg),2014-06-03,"['Iran', 'Jeff Seeney', 'Eugene Wamalwa', 'National Security and Intelligence Services', 'Mary Robinson', 'National Anti-Corruption Commission (Thailand)', 'Vietnam', '""Citizen (Cote d\'Ivoire)""', 'Tajikistan', 'National Alliance (Iraq)']"
2427,Police (Philippines),Make statement,Criminal (Philippines),2014-02-24,"['Angola', 'Business (Russia)', 'Abdul Aziz', 'Foreign Affairs (Italy)', 'Police (Philippines)', 'Tajikistan', 'Nathan Cirillo', 'Senate (South Sudan)', 'Lawmaker (Argentina)', 'Party of Regions']"
2428,High Commission for Refugees,Criticize or denounce,Malaysia,2014-05-28,"['Poland', 'Abdul Aziz', 'Muhammadu Buhari', 'Military Personnel (Nigeria)', 'Ireland', 'Men (Argentina)', 'Presidential Press Service (Nigeria)', 'Yamfwa Mukanga', 'Detainee (Rwanda)', 'Bahrain']"
2429,Coalition of the Radical Left,Make statement,Antonis Samaras,2014-10-28,"['Gideon Gono', 'Business (Bulgaria)', 'Head of Government (China)', 'Aristide Sokambi', 'Defector (South Korea)', 'Abdullah Gül', 'Sudan', 'Coalition of the Radical Left', 'Government Official (Japan)', 'Member of the Judiciary (Bangladesh)']"
2430,Islamic Preacher (Iran),Make an appeal or request,International Government Organizations,2014-03-05,"['People Associated with the Opposition (Russia)', 'Arseniy Yatsenyuk', 'Bismillah Khan Mohammadi', 'Ministry (Nigeria)', 'Agence France-Presse', 'Scott Emerson', 'Angela Merkel', 'Protester (Thailand)', 'Head of Government (Greece)', 'Paul Kagame']"
2431,Emma Bonino,Express intent to meet or negotiate,Nabih Berri,2014-02-04,"['Criminal (Australia)', 'Protester (Paraguay)', 'Other Authorities / Officials (Guinea)', 'Joachim Gauck', 'Omar Abdel-Rahman', 'Legislature (Serbia)', 'John Kerry', 'Other Authorities / Officials (Romania)', 'Dmitry Anatolyevich Medvedev', 'Legislature (Greece)']"
2432,Annick Girardin,Express intent to meet or negotiate,Guinea,2014-09-11,"['Military Personnel (Libya)', 'Konstantin Dolgov', 'Government (Syria)', 'Jean Qahwaji', 'France', 'Men (Pakistan)', 'Daniel Scioli', 'Youth and Sports Ministry (Azerbaijan)', 'Hezbollah', 'Lawmaker (Colombia)']"
2433,Iraq,Host a visit,Foreign Affairs (Norway),2014-08-25,"['Baron Waqa', 'Special Rapporteurs of the United Nations', 'Progressive Party (Nigeria)', 'Joseph Robinette Biden', 'Abdullah Gül', 'Frank Bainimarama', 'The Standard', 'Interfax', 'Election Commission (India)', 'Iraq']"
2434,Victor Ponta,Make statement,Gazprom,2014-07-25,"['Philippines', 'Businessperson (Czech Republic)', 'Tsai Ing-wen', 'Victor Ponta', 'Military Personnel - Special (Mexico)', 'Iraq', 'Government (Argentina)', 'Public Prosecutor (Greece)', 'Cambodia', 'Pakistan Tehreek-e-Insaf']"
2435,Iran,Refuse to yield,Terrorist (Islamic State of Iraq and the Levant),2014-09-18,"['Iran', 'South Africa', 'China', 'Labor Union (Nigeria)', 'Citizen (Yemen)', 'Royal Thai Police', 'Liyel Imoke', 'Businessperson (Italy)', 'Tajikistan', 'Defense / Security Ministry (Nigeria)']"
2436,"Labor and Employment Ministry (Palestinian Territory, Occupied)",Consult,Ahmad Majdalani,2014-03-20,"['Stavros Lambrinidis', 'National Security and Intelligence Services', 'Trade Union Congress', 'Government (Germany)', 'Party Member (Ireland)', 'Oleh Lyashko', 'Kyoto University', 'Peter Greste', 'Medical Personnel (Australia)', 'Professor (Australia)']"
2437,James Ongwae,Make an appeal or request,Indigenous People (Kenya),2014-01-03,"['Caroline Nzibe', 'Media Personnel (Australia)', 'Other Authorities / Officials (China)', 'Business (Poland)', 'Shura Council', 'Chief Court Judge (Angola)', 'Armed Gang (Libya)', 'Royal Administration (Jordan)', 'Agence France-Presse', 'Prajin Jantong']"
2438,Malaysia,Consult,Thailand,2014-12-03,"['Malaysia', 'Detainee (Ethiopia)', 'Citizen (Germany)', 'Citizen (Malaysia)', 'Head of Government (Pakistan)', 'Ireland', 'Gurbanguly Berdymukhammedov', 'Dmitry Olegovich Rogozin', 'Citizen (Turkey)', 'Dmitry Anatolyevich Medvedev']"
2439,South Africa,Host a visit,Xi Jinping,2014-07-15,"['Arab Israelis', 'Member of the Judiciary (Nigeria)', 'Defense / Security Ministry (United States)', 'Indigenous People (Malawi)', 'Legislature (Italy)', 'Member of Parliament (Russia)', 'People Associated with the Opposition (Argentina)', 'Abdul Aziz', 'Representatives (Slovakia)', 'Labor Party (United Kingdom)']"
2440,Lawmaker (Hong Kong),Make statement,Employee (Hong Kong),2014-12-09,"['North Atlantic Treaty Organization', 'Daniel Scioli', 'James Wani Igga', 'Lawmaker (Indonesia)', 'Chief Court Judge (Angola)', 'Mega Channel', 'Michael Sata', 'Insurgent (Afghanistan)', 'Tajikistan', 'Military (North Korea)']"
2441,Hamas,Make statement,Israeli Defense Forces,2014-07-21,"['Education (Costa Rica)', 'Kenneth Roth', 'Government (Kenya)', 'Businessperson (Italy)', 'Konstantin Dolgov', 'Association of Southeast Asian Nations', 'Media Personnel (Iran)', 'Head of Government (Egypt)', 'France', 'Angela Merkel']"
2442,Lawmaker (Iraq),Reject,Nuri al-Maliki,2014-07-13,"['Poland', 'Imran Khan', 'Special Rapporteurs of the United Nations', 'Algirdas Butkevičius', 'Royal Thai Police', 'Sergey Kuzhugetovich Shoygu', 'National Union Party (Romania)', 'Trade Union Congress', 'Cameroon', 'Arab Israelis']"
2443,Nuri al-Maliki,Consult,Iran,2014-05-19,"['Nuri al-Maliki', 'Military Personnel - Special (Mexico)', 'Jeff Seeney', 'Raheel Sharif', 'Shahin Mustafayev', 'Royal Administration (Jordan)', 'Milos Zeman', 'Government (Africa)', 'National Anti-Corruption Commission (Thailand)', 'Youth and Sports Ministry (Azerbaijan)']"
2444,Alexei Pushkov,Make statement,Iran,2014-11-18,"['Business (Poland)', 'National Union Party (Romania)', 'Legislature (Greece)', 'Militant (International)', 'Head of Government (Poland)', 'Military Personnel (Mali)', 'Lawyer/Attorney (Turkey)', 'Defense / Security Ministry (Italy)', 'Mamnoon Hussain', 'Media Personnel (Maldives)']"
2445,Tanya Plibersek,Express intent to meet or negotiate,John Kerry,2014-08-11,"['China', 'Medical Personnel (Jordan)', 'John Kerry', 'Kidnapper (Indonesia)', 'Gambia', 'Citizen (Nigeria)', 'High Commission for Refugees', 'Taavi Rõivas', 'Military Personnel - Special (Afghanistan)', 'Morgan Tsvangirai']"
2446,Militant (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-04-14,"['Citizen (Germany)', 'Viktor Orban', '""Awami (People\'s) League""', 'Rights Activist (China)', 'Middle East', 'Cabinet / Council of Ministers / Advisors (Thailand)', 'Police (Kyrgyzstan)', 'Citizen (International)', 'Afghanistan', 'Bangladesh Nationalist Party']"
2447,Foreign Affairs (United States),Consult,Al Wefaq National Islamic Society,2014-07-11,"['Foreign Affairs (United States)', 'Philippines', 'Main Opposition (Turkey)', 'Armed Gang (Egypt)', 'Main Opposition (Bahrain)', 'Senate (South Sudan)', 'Macky Sall', 'Children (Zimbabwe)', 'Chaturon Chaisang', 'Government (Sweden)']"
2448,Ministry (Egypt),Express intent to meet or negotiate,Civil Aviation Authority,2014-03-12,"['Police (Israel)', 'Men (India)', 'Head of Government (Poland)', 'Benazir Bhutto', 'Mouloud Hamrouche', 'Serbia', 'Didier Burkhalter', 'Thailand', 'Bank (Iran)', 'Main Opposition (Fiji)']"
2449,Ministry (Tanzania),Bring lawsuit against,Citizen (Tanzania),2014-10-24,"['Ministry (Tanzania)', '""Citizen (Cote d\'Ivoire)""', 'Kyoto University', 'Military (Argentina)', 'Men (Pakistan)', 'Cameroon', 'Citizen (Tanzania)', 'Lawmaker (United Kingdom)', 'Local Media (Ukraine)', 'Combatant (Syrian Kurds)']"
2450,Militant (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014-06-06,"['Men (Pakistan)', 'Militant (Boko Haram)', 'Eugene Wamalwa', 'Alex Salmond', 'Sudan', 'Member of the Judiciary (South Korea)', 'Activist (Communist Party of India)', 'Villager (India)', 'Didier Burkhalter', 'Abdullah Gül']"
2451,Angola,Host a visit,Kundy Pahiama,2014-03-16,"['Member of Legislative (Govt) (Lebanon)', 'Domestic Affairs (Yemen)', 'Government Official (Egypt)', 'Mary Robinson', 'Protester (Paraguay)', 'Scientist (China)', 'Military (Argentina)', 'Combatant (Iraqi Kurds)', 'Royal Thai Police', 'Keriako Tobiko']"
2452,Amit Shah,Make an appeal or request,Citizen (India),2014-09-29,"['Michael Sata', 'Austria Press Agency', 'Eugene Wamalwa', 'Amit Shah', 'Police (Kenya)', 'Tamar Beruchashvili', 'Head of Government (Egypt)', 'Tanzania', 'Japan Self-Defense Forces', 'Moro Islamic Liberation Front']"
2453,Ministry (Nigeria),Criticize or denounce,Government (Nigeria),2014-05-28,"['South Africa', 'Ministry (Nigeria)', 'Defense / Security Ministry (Italy)', 'Customs Official (Singapore)', 'Progressive Movement', 'Abdullah Gül', 'Morgan Tsvangirai', 'Marziyeh Afkham', 'Military Personnel - Special (Mexico)', 'Citizen (Singapore)']"
2454,China,Host a visit,Military Personnel (Thailand),2014-06-11,"['China', 'City Mayor (South Africa)', 'International Court of Justice', '""Uganda People\'s Defence Force""', 'Presidential Press Service (Nigeria)', 'Qassim Atta', 'Laos', 'Women (Mexico)', 'South Sudan', 'Indigenous People (Thailand)']"
2455,Umar al Bashir,Make statement,Sudan,2014-02-18,"['Anandiben Patel', 'Umar al Bashir', 'Congress of South African Trade Unions', 'Ion Iliescu', 'Morocco', 'Military (China)', 'Inter-Services Intelligence', 'Organisation of Islamic Cooperation', 'Monastery (China)', 'Dino Melaye']"
2456,Citizen (Kosovo),"Conduct suicide, car, or other non-military bombing",Ireland,2014-05-28,"['All India Sikh Students Federation', 'Tamar Beruchashvili', 'Governor (Democratic Republic of Congo)', 'Macky Sall', 'Ijaw Youth Council', 'Legislature (Czech Republic)', 'Other Authorities / Officials (Russia)', 'Medical Personnel (Jordan)', 'University of Cape Town', 'Hemant Soren']"
2457,Philip Hammond,Consult,Haider Al-Abadi,2014-10-13,"['Philip Hammond', 'Defense / Security Ministry (Ukraine)', 'Royal Administration (Spain)', 'Michael D. Higgins', 'Head of Government (China)', 'Military (China)', 'European Central Bank', 'People Associated with the Opposition (Bahrain)', 'Hezbollah', 'Kyoto University']"
2458,Kuwait,Host a visit,Ministry (Turkey),2014-01-17,"['Al-Shabaab', 'Arab Israelis', 'Citizen (Bulgaria)', 'Military Personnel (Afghanistan)', 'Congress of South African Trade Unions', 'Employee (Jordan)', 'Tajikistan', 'Mikhail Margelov', 'South Africa', 'Treasury/Finance Ministry (Bangladesh)']"
2459,John Kerry,Make a visit,Middle East,2014-06-23,"['Media Personnel (Iran)', 'John Kerry', 'Kim Jong-Un', '""Awami (People\'s) League""', 'Military (Turkey)', 'International Court of Justice', 'Education (United States)', 'Armed Rebel (Ukraine)', 'Philippines', 'Iran']"
2460,Police (Philippines),"Arrest, detain, or charge with legal action",Children (Philippines),2014-12-30,"['Police (Philippines)', 'Iraq', 'Military Personnel (Mali)', 'Military Personnel (Bahrain)', 'Mohamed Ould Abdel Aziz', 'Head of Government (Germany)', 'Head of Government (Pakistan)', 'Ireland', 'Ministry (Madagascar)', 'Military Personnel (Kenya)']"
2461,Lawyer/Attorney (United States),Make statement,Dzhokhar Tsarnaev,2014-10-20,"['Central Military Commission', 'Central Intelligence Agency', 'Abdul Aziz', 'Professor (France)', 'John Kerry', 'Cristina Fernández de Kirchner', 'Cabinet / Council of Ministers / Advisors (Thailand)', 'Xi Jinping', 'Israeli Defense Forces', 'Colombia']"
2462,János Áder,Engage in diplomatic cooperation,South Korea,2014-01-29,"['Other Authorities / Officials (Guinea)', 'Greenpeace', 'Kevin Rudd', 'Evangelos Venizelos', 'Combatant (Islamic State of Iraq and the Levant)', 'Samuel Sitta', 'Police (Mauritania)', 'Citizen (Venezuela)', 'Thailand', 'John Momis']"
2463,Thief (India),Use unconventional violence,Company - Owner or Operator (India),2014-02-06,"['Head of Government (Poland)', 'Abdirahman Ducaale Bayle', 'Ministry of Shipping (India)', 'Liyel Imoke', 'Mega Channel', 'Central Intelligence Agency', 'Gabriel Torwua Suswam', 'Chief of Staff (French Air Force)', 'Government (Sweden)', 'Prayuth Chan-ocha']"
2464,Ri Su Yong,Make statement,North Korea,2014-08-28,"['Member of Parliament (Russia)', 'Karim Wade', 'Business (Bulgaria)', 'Cambodia', 'Police (Israel)', 'Takeshi Onaga', 'Mouloud Hamrouche', 'Settler (Israel)', 'Head of Government (China)', 'Anson Chan']"
2465,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2014-07-02,"['People Associated with the Opposition (Bahrain)', 'Men (Argentina)', 'Religion (India)', 'Poland', 'Prayuth Chan-ocha', 'Military Personnel (Canada)', 'Mary Robinson', 'Legislature (Serbia)', 'Company - Owner or Operator (Nigeria)', 'Election Commission (India)']"
2466,John Kerry,Consult,Benjamin Netanyahu,2014-04-10,"['John Kerry', 'International Monetary Fund', 'Trade Union Congress', 'Media Personnel (Iran)', 'Muhammadu Buhari', 'Agence France-Presse', 'Shiv Sena', 'Foreign Affairs (Italy)', 'Konstantin Dolgov', 'Professor (France)']"
2467,Xi Jinping,Make statement,China,2014-04-26,"['Xi Jinping', 'Victor Ponta', 'Media Personnel (Sierra Leone)', 'China', 'John Kerry', 'Criminal (Guatemala)', 'Militant (Malaysia)', 'International Court of Justice', 'Philippines', 'Benjamin Netanyahu']"
2468,Ministry (Taiwan Affairs Office),Express intent to meet or negotiate,China,2014-06-24,"['Opposition Supporter (Pakistan)', 'Legislature (Germany)', 'Villager (India)', 'Combatant (Iraqi Kurds)', 'Trade Union Congress', 'Rauf Aregbesola', 'Radimir Čačić', 'Environment Department/Ministry (Jordan)', 'Hezbollah', 'Education (Costa Rica)']"
2469,Konstantin Dolgov,Make statement,RIA Novosti,2014-06-19,"['Abdul Aziz', 'Defense / Security Ministry (Ukraine)', 'Ministry (Nigeria)', 'Militant (Turkey)', 'Muhammadu Buhari', 'Tajikistan', 'Military (Mozambique)', 'City Mayor (Philippines)', 'Ireland', 'Somsavat Lengsava']"
2470,Government Official (Japan),Praise or endorse,Government (United States),2014-12-22,"['Government Official (Japan)', 'New Zealand', 'Fumio Kishida', 'Iraq', 'Party Member (Taiwan)', 'Media (India)', 'Northern Ireland', 'Main Opposition (Turkey)', 'Inter-Services Intelligence', 'Foreign Affairs (Libya)']"
2471,Yemeni Congregation for Reform,Make an appeal or request,Citizen (Yemen),2014-09-19,"['Central Intelligence Agency', 'Xi Jinping', 'Association of Southeast Asian Nations', 'Ministry (Liberia)', 'Presidential Candidate (Afghanistan)', 'Middle East', 'Ri Su Yong', 'Citizen (Indonesia)', 'Armed Rebel (Syria)', 'Citizen (Thailand)']"
2472,Anupong Paochinda,Make statement,Interim Government (Thailand),2014-11-16,"['Interfax', 'Ibrahim Shehu Shema', 'Tanzania', 'Thaksin Shinawatra', 'Tajikistan', 'Ministry (France)', 'Military Personnel (Kenya)', 'European Central Bank', 'Head of Government (Brazil)', 'Protester (Hong Kong)']"
2473,Jean-Yves Le Drian,Make a visit,United Arab Emirates,2014-09-15,"['Head of Government (Poland)', 'Kyoto University', 'Media Personnel (Iran)', 'Web Site (Lithuania)', 'Citizen (South Korea)', 'Men (United Kingdom)', 'Ministry (Afghanistan)', 'Jean-Yves Le Drian', 'Abdirahman Ducaale Bayle', 'Nicola Sturgeon']"
2474,Police (Australia),Accuse,Women (Australia),2014-07-11,"['Arseniy Yatsenyuk', 'City Mayor (Philippines)', 'Cameroon', 'Vietnam', 'Military Academy (North Korea)', 'Djibouti', 'People Associated with the Opposition (Bahrain)', 'Women (Australia)', 'France', 'Opposition Supporter (India)']"
2475,Yoani Sánchez,Criticize or denounce,Raúl Castro,2014-05-22,"['Government (Africa)', 'Sudan', 'Vojislav Šešelj', 'Amnesty International', 'Christian Democratic Union', 'Abdel Fattah Al-Sisi', 'Sheikh Hamad bin Isa al Khalifah', 'Food and Agriculture Organization', 'Indigenous People (Malawi)', 'Guinea']"
2476,Terrorist (Islamic State of Iraq and the Levant),Threaten,Iraq,2014-11-27,"['Iraq', 'Nabih Berri', 'UN Security Council', 'John Baird', 'Defense / Security Ministry (Nigeria)', 'Head of Government (China)', 'Tsai Ing-wen', 'Member of the Judiciary (United Arab Emirates)', 'Head of Government (Afghanistan)', 'Angola']"
2477,Aladdin Boroujerdi,Make statement,Middle East,2014-10-20,"['Israeli Defense Forces', 'Head of Government (Poland)', 'Militant (Turkey)', 'Customs Official (Singapore)', 'Armenia', 'The Standard', 'Military Personnel (Bahrain)', 'Sudan', 'Military Personnel (India)', 'Myanmar']"
2478,Foreign Affairs (Ukraine),Appeal for aid,Congress (United States),2014-07-10,"['Government (Africa)', 'Amnesty International', 'Head of Government (Qatar)', 'Election Commission (India)', 'Kyoto University', 'Special Rapporteurs of the United Nations', 'North Atlantic Treaty Organization', 'Uhuru Muigai Kenyatta', 'Jack Dempsey', 'Member of Legislative (Govt) (Kenya)']"
2479,Afghanistan,Express intent to meet or negotiate,Jens Stoltenberg,2014-11-30,"['Nuri al-Maliki', 'Lawyer/Attorney (Argentina)', 'Royal Administration (Jordan)', 'Defense / Security Ministry (Angola)', 'UN Security Council', 'Opposition Supporter (India)', 'Other Authorities / Officials (Philippines)', 'Gjorge Ivanov', 'Military Personnel - Special (Afghanistan)', 'Head of Government (China)']"
2480,Ali Tayyebnia,Make statement,Iran,2014-08-01,"['Domestic Affairs (Yemen)', 'Abdul Aziz', 'Israeli Defense Forces', 'Mexico', 'Morocco', 'Kyoto University', 'Member of the Judiciary (United Kingdom)', 'Media Personnel (France)', 'Citizen (Hungary)', 'Presidential Press Service (Nigeria)']"
2481,China,Threaten,Japan,2014-05-23,"['China', 'Kim Jong-Un', 'Ministry (Liberia)', 'Daniel Mitov', 'Mary Robinson', 'Party Member (Thailand)', 'Defense / Security Ministry (United States)', 'France', 'Japan', 'Fumio Kishida']"
2482,Armed Gang (Thailand),fight with small arms and light weapons,Student (Thailand),2014-11-05,"['Haiti', 'Medical Personnel (Jordan)', 'Head of Government (Afghanistan)', 'Alexis Tsipras', 'Military Academy (North Korea)', 'Reserve Personnel (Ukraine)', 'Lawyer/Attorney (South Korea)', 'Citizen (Turkey)', 'Steve Pearce', 'Augustine Alegeh']"
2483,Iraq,Employ aerial weapons,Terrorist (Islamic State of Iraq and the Levant),2014-10-29,"['Iraq', 'Colombia', 'Independent Corrupt Practices Commission', 'Director General (Rwanda)', 'Member of Parliament (Germany)', 'Abdul Aziz', 'Party Member (Afghanistan)', 'William Ruto', 'Media (Kenya)', 'Women (Angola)']"
2484,John Kerry,Host a visit,Abdel Fattah Al-Sisi,2014-09-13,"['Tulsi Gabbard', 'John Kerry', 'Iran', 'Supreme Council for Women', 'Bahrain', 'Refugee (Chad)', 'International Government Organizations', 'Armed Gang (Afghanistan)', 'South Africa', 'Thailand']"
2485,Chris Olukolade,Criticize or denounce,Boko Haram,2014-03-15,"['Kashim Shettima', 'Philip Hammond', 'Foreign Affairs (India)', 'Portugal', 'Didier Burkhalter', 'Defense / Security Ministry (Nigeria)', 'Legislature (Argentina)', 'High Commission for Refugees', 'Shiv Sena', 'Iran Khodro Company']"
2486,Special Rapporteurs of the United Nations,Express intent to meet or negotiate,Mauritania,2014-02-20,"['Colombia', 'Armed Rebel (Syria)', 'Julie Bishop', 'Business (Bulgaria)', 'Alexander Grushko', 'Representatives (Slovakia)', 'Education (Nigeria)', 'Tamar Beruchashvili', 'Military Personnel - Special (Nigeria)', 'Japan']"
2487,Cable News Network,Make statement,China,2014-09-30,"['Religion (India)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Doctors Without Borders', 'Defense / Security Ministry (Ukraine)', 'Government (Argentina)', 'Chief of Staff (French Air Force)', 'National Council for Peace and Order of Thailand', 'Oleh Lyashko', 'Paraguay', 'Mike Pence']"
2488,Indigenous People (United Kingdom),Make a visit,Iraq,2014-11-25,"['Kim Jong-Un', 'Josh Earnest', 'Julia Gillard', 'Member of Parliament (Germany)', 'Head of Government (Bahrain)', 'Mouloud Hamrouche', 'Ministry (Iran)', 'Ministry (Liberia)', 'Children (Philippines)', 'Head of Government (Ukraine)']"
2489,Saud bin Faisal bin Abdul-Aziz,Meet at a 'third' location,Mohammad Javad Zarif,2014-09-22,"['Newspaper (Japan)', 'Legislature (Argentina)', 'Police (Bulgaria)', 'Other Authorities / Officials (Lebanon)', 'Milos Zeman', '""Uganda People\'s Defence Force""', 'Abdirahman Ducaale Bayle', 'Women (Angola)', 'European Parliament', 'Gjorge Ivanov']"
2490,Julie Bishop,Make statement,Medical Personnel (Australia),2014-10-02,"['Foreign Affairs (Russia)', 'Foreign Affairs (Italy)', 'Media (Africa)', 'National Anti-Corruption Commission (Thailand)', 'Serbia', 'Romania', 'Head of Government (Mexico)', 'Military (Russia)', 'International Monetary Fund', 'Agence France-Presse']"
2491,China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-12-23,"['China', 'Kober prison', 'Head of Government (Brazil)', 'Gurbanguly Berdymukhammedov', 'Imran Khan', 'Military Personnel (Kenya)', 'Uhuru Muigai Kenyatta', 'Mainland Affairs Council', 'Women (Israel)', 'Party Member (Bolivia)']"
2492,Nigerian Navy,Criticize or denounce,Citizen (Nigeria),2014-08-29,"['Royal Thai Police', 'Oluṣẹgun Ọbasanjọ', 'Ireland', 'Kevin Rudd', 'Kim Jong-Un', 'María Ángela Holguín', 'Qatar', 'Hynek Kmoníček', 'Naglis Puteikis', 'Toomas Hendrik Ilves']"
2493,Iran,Consult,Tajikistan,2014-03-26,"['Iran', 'Media (Africa)', 'Head of Government (Mexico)', 'Justice and Development Party', 'Marziyeh Afkham', 'Insurgent (Afghanistan)', 'Djibouti', 'Democratic Party (Nigeria)', 'Men (Venezuela)', 'Kidnapper (Argentina)']"
2494,Citizen (South Korea),Accuse,Head of Government (South Korea),2014-12-23,"['Tamar Beruchashvili', 'Shahin Mustafayev', 'European Central Bank', 'Oman', 'Nabih Berri', 'Salvador Sánchez Cerén', 'Foreign Affairs (Latvia)', 'Foreign Affairs (Ukraine)', 'Northern Ireland', 'Taavi Rõivas']"
2495,China,Engage in diplomatic cooperation,Malaysia,2014-10-08,"['China', 'Middle East', 'Chuck Hagel', 'Criminal (Australia)', 'Information Ministry (India)', 'Employee (India)', 'Barnaba Marial Benjamin', 'Military Personnel (Bahrain)', 'Labor Union (Croatia)', 'Gurbanguly Berdymukhammedov']"
2496,UN Security Council,Make an appeal or request,Sudan,2014-11-20,"['UN Security Council', 'Alleged Militants (India)', 'Government (United States)', 'Foreign Affairs (Venezuela)', 'Military Personnel (Paraguay)', 'Media Personnel (Iran)', 'Mouloud Hamrouche', 'Legislature (Czech Republic)', 'Police (Libya)', 'Secret Agent (Philippines)']"
2497,United Arab Emirates,"Arrest, detain, or charge with legal action",Citizen (United Arab Emirates),2014-07-08,"['United Arab Emirates', 'Mohamed Ould Abdel Aziz', 'Government (France)', 'Sudan', 'Serbia', 'Military Personnel (Afghanistan)', 'Congress of South African Trade Unions', 'Didier Burkhalter', 'Mouloud Hamrouche', 'Terrorist (Syria)']"
2498,Military (Thailand),"Arrest, detain, or charge with legal action",Cabinet / Council of Ministers / Advisors (Thailand),2014-05-27,"['Businessperson (Italy)', 'Josh Earnest', 'Serbia', 'France', 'Armed Rebel (Syria)', 'Citizen (Saudi Arabia)', 'Bhutan', 'Farm Worker (Nigeria)', 'Shura Council', 'Togo']"
2499,Japan,Make statement,Airman (Japan),2014-10-05,"['Japan', 'Heydar Aliyev', 'Togo', 'Abdelilah Benkirane', 'Viktor Orban', 'Citizen (Brazil)', 'Business (Canada)', 'Raúl Castro', 'Serbia', 'Victor Ponta']"
2500,South Korea,Make an appeal or request,Japan,2014-03-18,"['South Korea', 'New Zealand', 'Somsavat Lengsava', 'Japan Self-Defense Forces', 'Men (India)', 'Al-Muhtadee Billah', 'Government (Kenya)', 'Party Member (Taiwan)', 'Barack Obama', 'Head of Government (Kosovo)']"
2501,Imran Khan,Consult,Protester (Pakistan),2014-08-14,"['Representatives (Ethiopia)', 'Abdul Aziz', 'Imran Khan', 'Citizen (United Kingdom)', 'Armed Gang (Mexico)', 'Ma Ying Jeou', 'Ivan Gasparovic', 'Senate (Brazil)', 'Lawmaker (Indonesia)', 'Serbia']"
2502,Benjamin Netanyahu,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-01-08,"['Benjamin Netanyahu', 'Khalid bin Ali Al Khalifa', 'Togo', 'Djoomart Otorbaev', 'Military Personnel (Afghanistan)', 'Tamar Beruchashvili', 'Other Authorities / Officials (Lebanon)', 'Joseph Ole Lenku', 'Party Member (United Kingdom)', 'Court Judge (Iraq)']"
2503,Other Authorities / Officials (China),Make statement,China,2014-10-13,"['Court Judge (Zambia)', 'Military (Russia)', 'Foreign Affairs (Venezuela)', 'North Korea', 'Rights Activist (Belarus)', 'Dmitry Anatolyevich Medvedev', 'Government (Georgia)', 'Chris Murphy', 'European Central Bank', 'Nicolai Wammen']"
2504,Foreign Affairs (United States),Consult,Davit Usupashvili,2014-12-05,"['Foreign Affairs (United States)', 'Philippines', 'Main Opposition (Turkey)', 'Armed Gang (Egypt)', 'Main Opposition (Bahrain)', 'Senate (South Sudan)', 'Macky Sall', 'Children (Zimbabwe)', 'Chaturon Chaisang', 'Government (Sweden)']"
2505,Benjamin Netanyahu,Make statement,Israeli Defense Forces,2014-06-20,"['Associated Press', 'Government (United States)', 'Julie Bishop', 'Member of Parliament (Germany)', 'Food and Agriculture Organization', 'Campbell Newman', 'Government (Nigeria)', 'Head of Government (Bahrain)', 'Benjamin Netanyahu', 'Government (Africa)']"
2506,Ministry (Iran),Criticize or denounce,Citizen (International),2014-08-14,"['Shura Council', 'Defense / Security Ministry (Ukraine)', 'Military (Turkey)', '""Citizen (Cote d\'Ivoire)""', 'Armed Forces of the Republic of Armenia', 'Citizen (South Korea)', 'Head of Government (Brazil)', 'John Major', 'Nurse (Venezuela)', 'City Mayor (Philippines)']"
2507,Armed Gang (Mexico),Use unconventional violence,Student (Mexico),2014-09-30,"['Gamini Peiris', 'Education (United States)', 'Environment Department/Ministry (Jordan)', 'Government (United States)', 'Oommen Chandy', 'Jyrki Katainen', 'Citizen (Tanzania)', 'Legislature (Libya)', 'Men (Venezuela)', 'Government (Pakistan)']"
